BMS老化测试详细判定报表

基本信息
通道号,1
货架号,01-A01
主机条码,1
从机1条码,11
从机2条码,111
从机3条码,1111
测试配方,DJ2513_Aging
测试开始时间,2026-05-24 15:13:14
测试结束时间,2026-05-24 15:14:23
测试总判定,NG

详细判定数据
测试项名称,单位,下限,上限,测量值,判定结果,执行时间(秒),记录时间
设备初始化,NULL,--,--,PASS,PASS,11.84,2026-05-24 15:13:26
BMS板工作唤醒,NULL,--,--,PASS,PASS,6.18,2026-05-24 15:13:32
供电DCDC+电压测试,NULL,11.0,13.0,11.998,PASS,1.79,2026-05-24 15:13:34
供电P+电压测试,NULL,11.0,13.0,11.991,PASS,0.15,2026-05-24 15:13:34
CAN2通讯测试,NULL,OK,--,OK,PASS,1.07,2026-05-24 15:13:35
CAN4通讯测试,NULL,OK,--,OK,PASS,1.11,2026-05-24 15:13:36
CAN1通讯测试,NULL,OK,--,OK,PASS,1.04,2026-05-24 15:13:38
KL15唤醒源识别,NULL,11.0,13.0,12.114,PASS,0.05,2026-05-24 15:13:38
HALL 5V供电回采电压,NULL,4.95,5.05,4.993,PASS,0.06,2026-05-24 15:13:38
SIG1脉冲阻抗,Ω,45000.0,55000.0,50236.0,PASS,2.06,2026-05-24 15:13:40
SIG3脉冲阻抗,Ω,90000.0,110000.0,94559.0,PASS,2.78,2026-05-24 15:13:42
HVIL1-IN功能采集,V,9.0,11.0,9.593,PASS,5.04,2026-05-24 15:13:48
HVIL1-频率,Hz,49.0,51.0,50.0,PASS,0.04,2026-05-24 15:13:48
HVIL1-占空比,%,49.0,51.0,50.0,PASS,0.03,2026-05-24 15:13:48
HVIL1-OUT功能采集,V,9.0,11.0,9.421,PASS,5.05,2026-05-24 15:13:53
HVIL2-IN功能采集,V,9.0,11.0,9.58,PASS,5.05,2026-05-24 15:13:58
HVIL2-频率,Hz,49.0,51.0,50.0,PASS,0.06,2026-05-24 15:13:58
HVIL2-占空比,%,49.0,51.0,50.0,PASS,0.05,2026-05-24 15:13:58
HVIL2-OUT功能采集,V,9.0,11.0,9.375,PASS,5.02,2026-05-24 15:14:03
HVIL3-IN功能采集,V,9.0,11.0,9.586,PASS,5.02,2026-05-24 15:14:08
HVIL3-频率,Hz,49.0,51.0,50.0,PASS,0.06,2026-05-24 15:14:08
HVIL3-占空比,%,49.0,51.0,50.0,PASS,0.06,2026-05-24 15:14:08
HVIL3-OUT功能采集,V,9.0,11.0,9.573,PASS,5.03,2026-05-24 15:14:13
GB_2015+CC1无效测试,V,0.0,0.15,0.004,PASS,1.81,2026-05-24 15:14:15
GB_2015+CC1有效测试,V,3.9,4.1,4.024,PASS,0.55,2026-05-24 15:14:15
GB_2015+CC1有效测试(闭合CC1_2015+_S2),V,9.5,10.5,10.066,PASS,1.18,2026-05-24 15:14:17
Chaoji_CC2无效测试,V,1.0,1.5,1.365,PASS,2.10,2026-05-24 15:14:19
Chaoji_CC2有效测试,V,0.5,0.8,0.663,PASS,1.07,2026-05-24 15:14:20
Chaoji_CC2有效测试(闭合CC2_SW3),V,0.0,0.15,0.0,PASS,1.10,2026-05-24 15:14:21
Chaoji_CC2-PE断线模拟,V,0.0,0.15,0.004,PASS,1.75,2026-05-24 15:14:23
环境温度测试,℃,0.0,85.0,-7.0,NG,0.60,2026-05-24 15:14:23
