BMS老化测试详细判定报表

基本信息
通道号,3
货架号,01-A03
主机条码,3
从机1条码,3
从机2条码,3
从机3条码,3
测试配方,DJ2513_Aging
测试开始时间,2026-05-23 23:15:30
测试结束时间,2026-05-23 23:19:28
测试总判定,NG

详细判定数据
测试项名称,单位,下限,上限,测量值,判定结果,执行时间(秒),记录时间
设备初始化,NULL,--,--,PASS,PASS,13.94,2026-05-23 23:15:44
BMS板工作唤醒,NULL,--,--,PASS,PASS,6.11,2026-05-23 23:15:50
供电DCDC+电压测试,NULL,11.0,13.0,12.018,PASS,1.77,2026-05-23 23:15:52
供电P+电压测试,NULL,11.0,13.0,12.038,PASS,0.06,2026-05-23 23:15:52
CAN2通讯测试,NULL,OK,--,OK,PASS,1.01,2026-05-23 23:15:53
CAN4通讯测试,NULL,OK,--,OK,PASS,1.02,2026-05-23 23:15:54
CAN1通讯测试,NULL,OK,--,OK,PASS,1.04,2026-05-23 23:15:55
KL15唤醒源识别,NULL,11.0,13.0,12.181,PASS,0.05,2026-05-23 23:15:55
HALL 5V供电回采电压,NULL,4.95,5.05,5.003,PASS,0.05,2026-05-23 23:15:55
SIG1脉冲阻抗,Ω,45000.0,55000.0,48263.0,PASS,2.07,2026-05-23 23:15:58
SIG3脉冲阻抗,Ω,90000.0,110000.0,96407.0,PASS,2.05,2026-05-23 23:16:00
HVIL1-IN功能采集,V,9.0,11.0,9.593,PASS,5.02,2026-05-23 23:16:05
HVIL1-频率,Hz,49.0,51.0,50.0,PASS,0.07,2026-05-23 23:16:05
HVIL1-占空比,%,49.0,51.0,50.0,PASS,0.06,2026-05-23 23:16:05
HVIL1-OUT功能采集,V,9.0,11.0,9.448,PASS,5.00,2026-05-23 23:16:10
HVIL2-IN功能采集,V,9.0,11.0,9.632,PASS,5.05,2026-05-23 23:16:15
HVIL2-频率,Hz,49.0,51.0,50.0,PASS,0.05,2026-05-23 23:16:15
HVIL2-占空比,%,49.0,51.0,50.0,PASS,0.06,2026-05-23 23:16:15
HVIL2-OUT功能采集,V,9.0,11.0,9.415,PASS,5.05,2026-05-23 23:16:20
HVIL3-IN功能采集,V,9.0,11.0,9.613,PASS,5.02,2026-05-23 23:16:25
HVIL3-频率,Hz,49.0,51.0,50.0,PASS,0.06,2026-05-23 23:16:25
HVIL3-占空比,%,49.0,51.0,50.0,PASS,0.06,2026-05-23 23:16:25
HVIL3-OUT功能采集,V,9.0,11.0,9.599,PASS,5.02,2026-05-23 23:16:30
GB_2015+CC1无效测试,V,0.0,0.15,0.004,PASS,1.65,2026-05-23 23:16:32
GB_2015+CC1有效测试,V,3.9,4.1,4.066,PASS,1.05,2026-05-23 23:16:33
GB_2015+CC1有效测试(闭合CC1_2015+_S2),V,9.5,10.5,10.182,PASS,1.15,2026-05-23 23:16:34
Chaoji_CC2无效测试,V,1.0,1.5,1.361,PASS,3.06,2026-05-23 23:16:37
Chaoji_CC2有效测试,V,0.5,0.8,0.661,PASS,1.77,2026-05-23 23:16:39
Chaoji_CC2有效测试(闭合CC2_SW3),V,0.0,0.15,0.0,PASS,1.14,2026-05-23 23:16:40
Chaoji_CC2-PE断线模拟,V,0.0,0.15,0.004,PASS,2.74,2026-05-23 23:16:43
环境温度测试,℃,0.0,85.0,25.2,PASS,0.00,2026-05-23 23:16:43
NTC1,℃,-45.0,90.0,25.0,PASS,0.05,2026-05-23 23:16:43
NTC2,℃,-45.0,90.0,25.0,PASS,0.05,2026-05-23 23:16:43
NTC3,℃,-45.0,90.0,25.0,PASS,0.05,2026-05-23 23:16:43
NTC4,℃,-45.0,90.0,24.0,PASS,0.03,2026-05-23 23:16:43
HSD_OUTPUT1（LL）,V,2.6,3.0,2.958,PASS,1.48,2026-05-23 23:16:44
HSD_OUTPUT1（LH）,V,0.0,0.3,0.006,PASS,1.51,2026-05-23 23:16:46
HSD_OUTPUT1_CS（LH）,V,0.0,0.05,0.003,PASS,0.02,2026-05-23 23:16:46
HSD_OUTPUT1（HH）,V,11.0,13.0,11.151,PASS,1.46,2026-05-23 23:16:47
HSD_OUTPUT1_CS（HH）,V,0.65,0.85,0.792,PASS,1.16,2026-05-23 23:16:48
HSD_OUTPUT2（LL）,V,2.6,3.0,2.958,PASS,1.49,2026-05-23 23:16:50
HSD_OUTPUT2（LH）,V,0.0,0.3,0.0,PASS,1.48,2026-05-23 23:16:51
HSD_OUTPUT2_CS（LH）,V,0.0,0.05,0.004,PASS,0.05,2026-05-23 23:16:51
HSD_OUTPUT2（HH）,V,11.0,13.0,11.537,PASS,1.47,2026-05-23 23:16:53
HSD_OUTPUT2_CS（HH）,V,0.35,0.5,0.427,PASS,2.36,2026-05-23 23:16:55
HSD_OUTPUT3（LL）,V,2.6,3.0,2.945,PASS,0.98,2026-05-23 23:16:56
HSD_OUTPUT3（LH）,V,0.0,0.3,0.006,PASS,1.48,2026-05-23 23:16:58
HSD_OUTPUT3_CS（LH）,V,0.0,0.05,0.004,PASS,0.06,2026-05-23 23:16:58
HSD_OUTPUT3（HH）,V,11.0,13.0,11.117,PASS,1.46,2026-05-23 23:16:59
HSD_OUTPUT3_CS（HH）,V,0.65,0.85,0.8,PASS,0.51,2026-05-23 23:17:00
HSD_OUTPUT4（LL）,V,2.6,3.0,2.945,PASS,0.92,2026-05-23 23:17:01
HSD_OUTPUT4（LH）,V,0.0,0.3,0.0,PASS,0.99,2026-05-23 23:17:02
HSD_OUTPUT4_CS（LH）,V,0.0,0.05,0.004,PASS,0.07,2026-05-23 23:17:02
HSD_OUTPUT4（HH）,V,11.0,13.0,11.531,PASS,1.45,2026-05-23 23:17:03
HSD_OUTPUT4_CS（HH）,V,0.35,0.5,0.426,PASS,1.19,2026-05-23 23:17:04
HSD_OUTPUT5（L）,V,0.0,0.3,0.0,PASS,1.11,2026-05-23 23:17:06
HSD_OUTPUT5_CS（L）,V,0.0,0.05,0.004,PASS,0.07,2026-05-23 23:17:06
HSD_OUTPUT5（H）,V,11.0,13.0,11.117,PASS,1.10,2026-05-23 23:17:07
HSD_OUTPUT5_CS（H）,V,0.65,0.85,0.804,PASS,0.61,2026-05-23 23:17:07
HSD_OUTPUT6（L）,V,0.0,0.3,0.0,PASS,0.60,2026-05-23 23:17:08
HSD_OUTPUT6_CS（L）,V,0.0,0.05,0.004,PASS,0.05,2026-05-23 23:17:08
HSD_OUTPUT6（H）,V,11.0,13.0,11.578,PASS,1.11,2026-05-23 23:17:09
HSD_OUTPUT6_CS（H）,V,0.35,0.5,0.429,PASS,0.60,2026-05-23 23:17:10
HSD_OUTPUT7（L）,V,0.0,0.1,0.0,PASS,0.60,2026-05-23 23:17:10
HSD_OUTPUT7（H）,V,11.0,13.0,11.131,PASS,1.09,2026-05-23 23:17:11
HSD_OUTPUT7_CS（H）,V,0.7,0.9,0.8,PASS,0.59,2026-05-23 23:17:12
HSD_OUTPUT8（L）,V,0.0,0.1,0.0,PASS,0.62,2026-05-23 23:17:13
HSD_OUTPUT8（H）,V,11.0,13.0,11.585,PASS,1.15,2026-05-23 23:17:14
HSD_OUTPUT8_CS（H）,V,0.35,0.5,0.428,PASS,0.62,2026-05-23 23:17:14
LSD_OUTPUT1（L）,V,2.6,3.0,2.96,PASS,0.97,2026-05-23 23:17:15
LSD_OUTPUT1（H）,V,0.0,0.3,0.039,PASS,3.96,2026-05-23 23:17:19
LSD_OUTPUT2（L）,V,2.6,3.0,2.967,PASS,0.97,2026-05-23 23:17:20
LSD_OUTPUT2（H）,V,0.0,0.3,0.026,PASS,2.36,2026-05-23 23:17:23
LSD_OUTPUT3（L）,V,2.6,3.0,2.947,PASS,0.97,2026-05-23 23:17:24
LSD_OUTPUT3（H）,V,0.0,0.3,0.039,PASS,2.76,2026-05-23 23:17:26
LSD_OUTPUT4（L）,V,2.6,3.0,2.967,PASS,0.97,2026-05-23 23:17:27
LSD_OUTPUT4（H）,V,0.0,0.3,0.019,PASS,2.72,2026-05-23 23:17:30
@高压源控制-100V,V,99.0,101.0,100.0517,PASS,8.29,2026-05-23 23:17:38
高压1测试-100V,V,99.0,101.0,100.305,PASS,0.06,2026-05-23 23:17:38
高压2测试-100V,V,99.0,101.0,99.887,PASS,0.05,2026-05-23 23:17:38
高压3测试-100V,V,99.0,101.0,99.659,PASS,0.05,2026-05-23 23:17:38
@高压源控制-750V,V,749.0,751.0,749.9955,PASS,4.08,2026-05-23 23:17:43
高压1测试-750V,V,749.0,751.0,750.009,PASS,0.08,2026-05-23 23:17:43
高压2测试-750V,V,749.0,751.0,749.971,PASS,0.05,2026-05-23 23:17:43
高压3测试-750V,V,749.0,751.0,749.363,PASS,0.06,2026-05-23 23:17:43
@高压源控制-650V,V,649.0,651.0,650.0006,PASS,4.11,2026-05-23 23:17:47
绝缘采集测试-正极1MΩ,KΩ,800.0,1200.0,990.9kΩ,PASS,67.82,2026-05-23 23:18:55
绝缘采集测试-负极30KΩ,KΩ,25.0,35.0,30.4kΩ,PASS,0.03,2026-05-23 23:18:55
@高压源控制-0V,V,0.0,1.0,0.4177,PASS,4.63,2026-05-23 23:18:59
快充口绝缘阻抗-100KΩ,Ω,80000.0,120000.0,92863.0,PASS,3.12,2026-05-23 23:19:02
快充口绝缘阻抗-500KΩ,Ω,425000.0,575000.0,465398.0,PASS,3.88,2026-05-23 23:19:06
第一路负极粘连检测-无效,V,4.9,5.02,4.996,PASS,3.02,2026-05-23 23:19:09
第一路负极粘连检测-有效,V,1.8,2.0,1.911,PASS,3.71,2026-05-23 23:19:13
第二路负极粘连检测-无效,V,4.9,5.02,4.999,PASS,3.05,2026-05-23 23:19:16
第二路负极粘连检测-有效,V,1.8,2.0,1.915,PASS,3.66,2026-05-23 23:19:20
CA550输出-2.5V,V,2.49,2.51,0.0,NG,7.80,2026-05-23 23:19:28
