BMS老化测试详细判定报表

基本信息
通道号,3
货架号,01-A03
主机条码,3
从机1条码,33
从机2条码,333
从机3条码,3333
测试配方,DJ2513_Aging
测试开始时间,2026-05-24 14:46:13
测试结束时间,2026-05-24 14:53:09
测试总判定,PASS

详细判定数据
测试项名称,单位,下限,上限,测量值,判定结果,执行时间(秒),记录时间
设备初始化,NULL,--,--,PASS,PASS,11.70,2026-05-24 14:46:24
BMS板工作唤醒,NULL,--,--,PASS,PASS,6.10,2026-05-24 14:46:31
供电DCDC+电压测试,NULL,11.0,13.0,12.005,PASS,1.84,2026-05-24 14:46:32
供电P+电压测试,NULL,11.0,13.0,12.011,PASS,0.06,2026-05-24 14:46:32
CAN2通讯测试,NULL,OK,--,OK,PASS,1.01,2026-05-24 14:46:33
CAN4通讯测试,NULL,OK,--,OK,PASS,1.23,2026-05-24 14:46:35
CAN1通讯测试,NULL,OK,--,OK,PASS,1.04,2026-05-24 14:46:36
KL15唤醒源识别,NULL,11.0,13.0,12.181,PASS,0.08,2026-05-24 14:46:36
HALL 5V供电回采电压,NULL,4.95,5.05,4.998,PASS,0.06,2026-05-24 14:46:36
SIG1脉冲阻抗,Ω,45000.0,55000.0,46511.0,PASS,2.08,2026-05-24 14:46:38
SIG3脉冲阻抗,Ω,90000.0,110000.0,97031.0,PASS,2.23,2026-05-24 14:46:40
HVIL1-IN功能采集,V,9.0,11.0,9.593,PASS,5.02,2026-05-24 14:46:45
HVIL1-频率,Hz,49.0,51.0,50.0,PASS,0.07,2026-05-24 14:46:45
HVIL1-占空比,%,49.0,51.0,50.0,PASS,0.06,2026-05-24 14:46:45
HVIL1-OUT功能采集,V,9.0,11.0,9.435,PASS,5.01,2026-05-24 14:46:50
HVIL2-IN功能采集,V,9.0,11.0,9.626,PASS,5.03,2026-05-24 14:46:55
HVIL2-频率,Hz,49.0,51.0,50.0,PASS,0.06,2026-05-24 14:46:55
HVIL2-占空比,%,49.0,51.0,50.0,PASS,0.05,2026-05-24 14:46:56
HVIL2-OUT功能采集,V,9.0,11.0,9.402,PASS,5.05,2026-05-24 14:47:01
HVIL3-IN功能采集,V,9.0,11.0,9.613,PASS,5.07,2026-05-24 14:47:06
HVIL3-频率,Hz,49.0,51.0,50.0,PASS,0.06,2026-05-24 14:47:06
HVIL3-占空比,%,49.0,51.0,50.0,PASS,0.06,2026-05-24 14:47:06
HVIL3-OUT功能采集,V,9.0,11.0,9.599,PASS,5.03,2026-05-24 14:47:11
GB_2015+CC1无效测试,V,0.0,0.15,0.0,PASS,1.59,2026-05-24 14:47:12
GB_2015+CC1有效测试,V,3.9,4.1,4.071,PASS,0.56,2026-05-24 14:47:13
GB_2015+CC1有效测试(闭合CC1_2015+_S2),V,9.5,10.5,10.186,PASS,1.39,2026-05-24 14:47:14
Chaoji_CC2无效测试,V,1.0,1.5,1.361,PASS,2.07,2026-05-24 14:47:16
Chaoji_CC2有效测试,V,0.5,0.8,0.661,PASS,1.06,2026-05-24 14:47:17
Chaoji_CC2有效测试(闭合CC2_SW3),V,0.0,0.15,0.0,PASS,1.10,2026-05-24 14:47:19
Chaoji_CC2-PE断线模拟,V,0.0,0.15,0.004,PASS,1.69,2026-05-24 14:47:20
环境温度测试,℃,0.0,85.0,28.1,PASS,2.36,2026-05-24 14:47:23
NTC1,℃,-45.0,90.0,26.0,PASS,0.06,2026-05-24 14:47:23
NTC2,℃,-45.0,90.0,26.0,PASS,0.06,2026-05-24 14:47:23
NTC3,℃,-45.0,90.0,26.0,PASS,0.05,2026-05-24 14:47:23
NTC4,℃,-45.0,90.0,26.0,PASS,0.05,2026-05-24 14:47:23
HSD_OUTPUT1（LL）,V,2.6,3.0,2.952,PASS,1.46,2026-05-24 14:47:24
HSD_OUTPUT1（LH）,V,0.0,0.3,0.006,PASS,1.50,2026-05-24 14:47:26
HSD_OUTPUT1_CS（LH）,V,0.0,0.05,0.003,PASS,1.25,2026-05-24 14:47:27
HSD_OUTPUT1（HH）,V,11.0,13.0,11.165,PASS,1.49,2026-05-24 14:47:29
HSD_OUTPUT1_CS（HH）,V,0.65,0.85,0.797,PASS,1.19,2026-05-24 14:47:30
HSD_OUTPUT2（LL）,V,2.6,3.0,2.952,PASS,1.49,2026-05-24 14:47:31
HSD_OUTPUT2（LH）,V,0.0,0.3,0.0,PASS,1.46,2026-05-24 14:47:33
HSD_OUTPUT2_CS（LH）,V,0.0,0.05,0.004,PASS,0.05,2026-05-24 14:47:33
HSD_OUTPUT2（HH）,V,11.0,13.0,11.537,PASS,1.46,2026-05-24 14:47:34
HSD_OUTPUT2_CS（HH）,V,0.35,0.5,0.427,PASS,1.16,2026-05-24 14:47:35
HSD_OUTPUT3（LL）,V,2.6,3.0,2.938,PASS,1.00,2026-05-24 14:47:36
HSD_OUTPUT3（LH）,V,0.0,0.3,0.006,PASS,2.67,2026-05-24 14:47:39
HSD_OUTPUT3_CS（LH）,V,0.0,0.05,0.004,PASS,0.05,2026-05-24 14:47:39
HSD_OUTPUT3（HH）,V,11.0,13.0,11.111,PASS,1.49,2026-05-24 14:47:41
HSD_OUTPUT3_CS（HH）,V,0.65,0.85,0.802,PASS,0.45,2026-05-24 14:47:41
HSD_OUTPUT4（LL）,V,2.6,3.0,2.958,PASS,0.96,2026-05-24 14:47:42
HSD_OUTPUT4（LH）,V,0.0,0.3,0.0,PASS,1.13,2026-05-24 14:47:43
HSD_OUTPUT4_CS（LH）,V,0.0,0.05,0.006,PASS,0.05,2026-05-24 14:47:43
HSD_OUTPUT4（HH）,V,11.0,13.0,11.531,PASS,1.48,2026-05-24 14:47:45
HSD_OUTPUT4_CS（HH）,V,0.35,0.5,0.426,PASS,1.15,2026-05-24 14:47:46
HSD_OUTPUT5（L）,V,0.0,0.3,0.006,PASS,1.09,2026-05-24 14:47:47
HSD_OUTPUT5_CS（L）,V,0.0,0.05,0.004,PASS,0.06,2026-05-24 14:47:47
HSD_OUTPUT5（H）,V,11.0,13.0,11.09,PASS,1.09,2026-05-24 14:47:48
HSD_OUTPUT5_CS（H）,V,0.65,0.85,0.805,PASS,0.59,2026-05-24 14:47:49
HSD_OUTPUT6（L）,V,0.0,0.3,0.0,PASS,0.60,2026-05-24 14:47:49
HSD_OUTPUT6_CS（L）,V,0.0,0.05,0.006,PASS,0.05,2026-05-24 14:47:49
HSD_OUTPUT6（H）,V,11.0,13.0,11.558,PASS,1.10,2026-05-24 14:47:51
HSD_OUTPUT6_CS（H）,V,0.35,0.5,0.429,PASS,0.61,2026-05-24 14:47:51
HSD_OUTPUT7（L）,V,0.0,0.1,0.0,PASS,0.63,2026-05-24 14:47:52
HSD_OUTPUT7（H）,V,11.0,13.0,11.07,PASS,1.10,2026-05-24 14:47:53
HSD_OUTPUT7_CS（H）,V,0.7,0.9,0.802,PASS,1.84,2026-05-24 14:47:55
HSD_OUTPUT8（L）,V,0.0,0.1,0.0,PASS,0.60,2026-05-24 14:47:55
HSD_OUTPUT8（H）,V,11.0,13.0,11.578,PASS,1.09,2026-05-24 14:47:56
HSD_OUTPUT8_CS（H）,V,0.35,0.5,0.428,PASS,0.62,2026-05-24 14:47:57
LSD_OUTPUT1（L）,V,2.6,3.0,2.953,PASS,1.08,2026-05-24 14:47:58
LSD_OUTPUT1（H）,V,0.0,0.3,0.039,PASS,2.75,2026-05-24 14:48:01
LSD_OUTPUT2（L）,V,2.6,3.0,2.973,PASS,1.07,2026-05-24 14:48:02
LSD_OUTPUT2（H）,V,0.0,0.3,0.019,PASS,2.44,2026-05-24 14:48:04
LSD_OUTPUT3（L）,V,2.6,3.0,2.947,PASS,0.97,2026-05-24 14:48:05
LSD_OUTPUT3（H）,V,0.0,0.3,0.039,PASS,2.80,2026-05-24 14:48:08
LSD_OUTPUT4（L）,V,2.6,3.0,2.967,PASS,1.00,2026-05-24 14:48:09
LSD_OUTPUT4（H）,V,0.0,0.3,0.026,PASS,2.75,2026-05-24 14:48:12
@高压源控制-100V,V,99.0,101.0,100.058,PASS,4.59,2026-05-24 14:48:17
高压1测试-100V,V,99.0,101.0,100.305,PASS,0.04,2026-05-24 14:48:17
高压2测试-100V,V,99.0,101.0,99.849,PASS,0.05,2026-05-24 14:48:17
高压3测试-100V,V,99.0,101.0,99.393,PASS,0.05,2026-05-24 14:48:17
@高压源控制-750V,V,749.0,751.0,749.999,PASS,4.15,2026-05-24 14:48:21
高压1测试-750V,V,749.0,751.0,750.047,PASS,0.06,2026-05-24 14:48:21
高压2测试-750V,V,749.0,751.0,750.009,PASS,0.06,2026-05-24 14:48:21
高压3测试-750V,V,749.0,751.0,749.287,PASS,0.07,2026-05-24 14:48:21
@高压源控制-650V,V,649.0,651.0,650.0087,PASS,4.29,2026-05-24 14:48:25
绝缘采集测试-正极1MΩ,KΩ,800.0,1200.0,1006.9kΩ,PASS,84.94,2026-05-24 14:49:50
绝缘采集测试-负极30KΩ,KΩ,25.0,35.0,30.8kΩ,PASS,0.04,2026-05-24 14:49:50
@高压源控制-0V,V,0.0,1.0,0.5335,PASS,3.61,2026-05-24 14:49:54
快充口绝缘阻抗-100KΩ,Ω,80000.0,120000.0,93501.0,PASS,3.13,2026-05-24 14:49:57
快充口绝缘阻抗-500KΩ,Ω,425000.0,575000.0,466345.0,PASS,2.67,2026-05-24 14:50:00
第一路负极粘连检测-无效,V,4.9,5.02,4.995,PASS,2.08,2026-05-24 14:50:02
第一路负极粘连检测-有效,V,1.8,2.0,1.909,PASS,2.79,2026-05-24 14:50:05
第二路负极粘连检测-无效,V,4.9,5.02,4.999,PASS,2.08,2026-05-24 14:50:07
第二路负极粘连检测-有效,V,1.8,2.0,1.914,PASS,2.68,2026-05-24 14:50:10
CA550输出-2.5V,V,2.49,2.51,2.5,PASS,11.68,2026-05-24 14:50:21
HALL电流采集（2.5V）,V,2.4,2.6,2.492,PASS,1.56,2026-05-24 14:50:23
CA550输出-5V,V,4.99,5.01,5.0,PASS,2.76,2026-05-24 14:50:26
HALL电流采集（5V）,V,4.9,5.1,4.995,PASS,0.05,2026-05-24 14:50:26
CA550输出-0V,V,-0.01,0.01,0.0,PASS,11.74,2026-05-24 14:50:37
HALL电流采集（0V）,V,-0.1,0.1,0.0,PASS,0.06,2026-05-24 14:50:37
CA550输出-OFF,V,-0.01,0.01,0.0,PASS,6.29,2026-05-24 14:50:44
EEPROM测试,NULL,测试通过,--,测试通过,PASS,5.24,2026-05-24 14:50:49
1模拟电池输出-2.5V,V,44.946,45.054,45.0,PASS,6.58,2026-05-24 14:50:56
2模拟电池输出-2.5V,V,44.946,45.054,45.0,PASS,5.63,2026-05-24 14:51:01
3模拟电池输出-2.5V,V,44.946,45.054,45.0,PASS,5.53,2026-05-24 14:51:07
单体电压测试准备,NULL,--,--,OK,PASS,4.01,2026-05-24 14:51:11
节点配置,NULL,--,--,0.0,PASS,87.33,2026-05-24 14:52:38
单体电压读取_01,V,2.497,2.503,2.499,PASS,0.05,2026-05-24 14:52:38
单体电压读取_02,V,2.497,2.503,2.5,PASS,0.04,2026-05-24 14:52:38
单体电压读取_03,V,2.497,2.503,2.5,PASS,0.05,2026-05-24 14:52:38
单体电压读取_04,V,2.497,2.503,2.499,PASS,0.05,2026-05-24 14:52:38
单体电压读取_05,V,2.497,2.503,2.499,PASS,0.06,2026-05-24 14:52:39
单体电压读取_06,V,2.497,2.503,2.5,PASS,0.05,2026-05-24 14:52:39
单体电压读取_07,V,2.497,2.503,2.499,PASS,0.05,2026-05-24 14:52:39
单体电压读取_08,V,2.497,2.503,2.499,PASS,0.06,2026-05-24 14:52:39
单体电压读取_09,V,2.497,2.503,2.499,PASS,0.04,2026-05-24 14:52:39
单体电压读取_10,V,2.497,2.503,2.499,PASS,0.05,2026-05-24 14:52:39
单体电压读取_11,V,2.497,2.503,2.5,PASS,0.05,2026-05-24 14:52:39
单体电压读取_12,V,2.497,2.503,2.499,PASS,0.05,2026-05-24 14:52:39
单体电压读取_13,V,2.497,2.503,2.5,PASS,0.06,2026-05-24 14:52:39
单体电压读取_14,V,2.497,2.503,2.499,PASS,0.06,2026-05-24 14:52:39
单体电压读取_15,V,2.497,2.503,2.5,PASS,0.05,2026-05-24 14:52:39
单体电压读取_16,V,2.497,2.503,2.499,PASS,0.04,2026-05-24 14:52:39
单体电压读取_17,V,2.497,2.503,2.5,PASS,0.05,2026-05-24 14:52:39
单体电压读取_18,V,2.497,2.503,2.499,PASS,0.06,2026-05-24 14:52:39
单体电压读取_19,V,2.497,2.503,2.499,PASS,0.06,2026-05-24 14:52:39
单体电压读取_20,V,2.497,2.503,2.499,PASS,0.06,2026-05-24 14:52:39
单体电压读取_21,V,2.497,2.503,2.499,PASS,1.25,2026-05-24 14:52:41
单体电压读取_22,V,2.497,2.503,2.499,PASS,0.05,2026-05-24 14:52:41
单体电压读取_23,V,2.497,2.503,2.499,PASS,0.05,2026-05-24 14:52:41
单体电压读取_24,V,2.497,2.503,2.5,PASS,0.05,2026-05-24 14:52:41
