BMS老化测试详细判定报表

基本信息
通道号,2
货架号,01-A02
主机条码,23456
从机1条码,34
从机2条码,54567
从机3条码,54678
测试配方,DJ2513_Aging
测试开始时间,2026-05-30 15:30:20
测试结束时间,2026-05-30 15:35:59
测试总判定,PASS

详细判定数据
测试项名称,单位,下限,上限,测量值,判定结果,执行时间(秒),记录时间
设备初始化,NULL,--,--,PASS,PASS,8.40,2026-05-30 15:30:28
BMS板工作唤醒,NULL,--,--,PASS,PASS,6.12,2026-05-30 15:30:35
供电DCDC+电压测试,NULL,11.0,13.0,12.038,PASS,1.81,2026-05-30 15:30:36
供电P+电压测试,NULL,11.0,13.0,12.079,PASS,0.06,2026-05-30 15:30:36
CAN2通讯测试,NULL,OK,--,OK,PASS,1.06,2026-05-30 15:30:37
CAN4通讯测试,NULL,OK,--,OK,PASS,1.03,2026-05-30 15:30:39
CAN1通讯测试,NULL,OK,--,OK,PASS,1.02,2026-05-30 15:30:40
KL15唤醒源识别,NULL,11.0,13.0,12.262,PASS,0.06,2026-05-30 15:30:40
HALL 5V供电回采电压,NULL,4.95,5.05,5.003,PASS,0.77,2026-05-30 15:30:40
SIG1脉冲阻抗,Ω,45000.0,55000.0,52570.0,PASS,2.08,2026-05-30 15:30:42
SIG3脉冲阻抗,Ω,90000.0,110000.0,95684.0,PASS,2.09,2026-05-30 15:30:49
HVIL1-IN功能采集,V,9.0,11.0,9.619,PASS,5.02,2026-05-30 15:30:54
HVIL1-频率,Hz,49.0,51.0,50.0,PASS,0.06,2026-05-30 15:30:54
HVIL1-占空比,%,49.0,51.0,50.0,PASS,0.06,2026-05-30 15:30:54
HVIL1-OUT功能采集,V,9.0,11.0,9.507,PASS,5.07,2026-05-30 15:30:59
HVIL2-IN功能采集,V,9.0,11.0,9.639,PASS,5.08,2026-05-30 15:31:04
HVIL2-频率,Hz,49.0,51.0,50.0,PASS,0.06,2026-05-30 15:31:04
HVIL2-占空比,%,49.0,51.0,50.0,PASS,0.07,2026-05-30 15:31:04
HVIL2-OUT功能采集,V,9.0,11.0,9.435,PASS,5.03,2026-05-30 15:31:09
HVIL3-IN功能采集,V,9.0,11.0,9.626,PASS,5.06,2026-05-30 15:31:14
HVIL3-频率,Hz,49.0,51.0,50.0,PASS,0.07,2026-05-30 15:31:14
HVIL3-占空比,%,49.0,51.0,50.0,PASS,0.10,2026-05-30 15:31:14
HVIL3-OUT功能采集,V,9.0,11.0,9.639,PASS,5.06,2026-05-30 15:31:20
GB_2015+CC1无效测试,V,0.0,0.15,0.004,PASS,1.64,2026-05-30 15:31:21
GB_2015+CC1有效测试,V,3.9,4.1,4.045,PASS,0.55,2026-05-30 15:31:22
GB_2015+CC1有效测试(闭合CC1_2015+_S2),V,9.5,10.5,10.135,PASS,1.21,2026-05-30 15:31:23
Chaoji_CC2无效测试,V,1.0,1.5,1.356,PASS,2.06,2026-05-30 15:31:25
Chaoji_CC2有效测试,V,0.5,0.8,0.661,PASS,1.06,2026-05-30 15:31:26
Chaoji_CC2有效测试(闭合CC2_SW3),V,0.0,0.15,0.0,PASS,1.11,2026-05-30 15:31:27
Chaoji_CC2-PE断线模拟,V,0.0,0.15,0.004,PASS,1.76,2026-05-30 15:31:29
环境温度测试,℃,-40.0,85.0,25.0,PASS,0.03,2026-05-30 15:31:29
NTC1,℃,-45.0,90.0,26.0,PASS,0.05,2026-05-30 15:31:29
NTC2,℃,-45.0,90.0,26.0,PASS,0.07,2026-05-30 15:31:29
NTC3,℃,-45.0,90.0,26.0,PASS,0.07,2026-05-30 15:31:29
NTC4,℃,-45.0,90.0,26.0,PASS,0.09,2026-05-30 15:31:29
HSD_OUTPUT1（LL）,V,2.6,3.0,2.958,PASS,1.48,2026-05-30 15:31:31
HSD_OUTPUT1（LH）,V,0.0,0.3,0.0,PASS,1.52,2026-05-30 15:31:32
HSD_OUTPUT1_CS（LH）,V,0.0,0.05,0.004,PASS,0.07,2026-05-30 15:31:32
HSD_OUTPUT1（HH）,V,11.0,13.0,11.246,PASS,1.54,2026-05-30 15:31:34
HSD_OUTPUT1_CS（HH）,V,0.65,0.85,0.799,PASS,1.19,2026-05-30 15:31:35
HSD_OUTPUT2（LL）,V,2.6,3.0,2.965,PASS,1.52,2026-05-30 15:31:37
HSD_OUTPUT2（LH）,V,0.0,0.3,0.006,PASS,2.70,2026-05-30 15:31:39
HSD_OUTPUT2_CS（LH）,V,0.0,0.05,0.004,PASS,0.06,2026-05-30 15:31:39
HSD_OUTPUT2（HH）,V,11.0,13.0,11.619,PASS,1.47,2026-05-30 15:31:41
HSD_OUTPUT2_CS（HH）,V,0.35,0.5,0.432,PASS,1.19,2026-05-30 15:31:42
HSD_OUTPUT3（LL）,V,2.6,3.0,2.979,PASS,0.98,2026-05-30 15:31:43
HSD_OUTPUT3（LH）,V,0.0,0.3,0.0,PASS,1.52,2026-05-30 15:31:45
HSD_OUTPUT3_CS（LH）,V,0.0,0.05,0.003,PASS,0.05,2026-05-30 15:31:45
HSD_OUTPUT3（HH）,V,11.0,13.0,11.253,PASS,2.73,2026-05-30 15:31:47
HSD_OUTPUT3_CS（HH）,V,0.65,0.85,0.807,PASS,0.50,2026-05-30 15:31:48
HSD_OUTPUT4（LL）,V,2.6,3.0,2.952,PASS,1.08,2026-05-30 15:31:49
HSD_OUTPUT4（LH）,V,0.0,0.3,0.006,PASS,0.99,2026-05-30 15:31:50
HSD_OUTPUT4_CS（LH）,V,0.0,0.05,0.004,PASS,0.08,2026-05-30 15:31:50
HSD_OUTPUT4（HH）,V,11.0,13.0,11.598,PASS,1.47,2026-05-30 15:31:52
HSD_OUTPUT4_CS（HH）,V,0.35,0.5,0.424,PASS,1.19,2026-05-30 15:31:53
HSD_OUTPUT5（L）,V,0.0,0.3,0.0,PASS,1.11,2026-05-30 15:31:54
HSD_OUTPUT5_CS（L）,V,0.0,0.05,0.004,PASS,0.06,2026-05-30 15:31:54
HSD_OUTPUT5（H）,V,11.0,13.0,11.266,PASS,1.13,2026-05-30 15:31:55
HSD_OUTPUT5_CS（H）,V,0.65,0.85,0.813,PASS,0.63,2026-05-30 15:31:56
HSD_OUTPUT6（L）,V,0.0,0.3,0.0,PASS,0.61,2026-05-30 15:31:56
HSD_OUTPUT6_CS（L）,V,0.0,0.05,0.006,PASS,0.06,2026-05-30 15:31:56
HSD_OUTPUT6（H）,V,11.0,13.0,11.632,PASS,1.15,2026-05-30 15:31:58
HSD_OUTPUT6_CS（H）,V,0.35,0.5,0.435,PASS,0.63,2026-05-30 15:31:58
HSD_OUTPUT7（L）,V,0.0,0.1,0.006,PASS,0.61,2026-05-30 15:31:59
HSD_OUTPUT7（H）,V,11.0,13.0,11.199,PASS,1.13,2026-05-30 15:32:00
HSD_OUTPUT7_CS（H）,V,0.7,0.9,0.805,PASS,0.62,2026-05-30 15:32:01
HSD_OUTPUT8（L）,V,0.0,0.1,0.0,PASS,1.85,2026-05-30 15:32:02
HSD_OUTPUT8（H）,V,11.0,13.0,11.625,PASS,1.10,2026-05-30 15:32:04
HSD_OUTPUT8_CS（H）,V,0.35,0.5,0.432,PASS,0.63,2026-05-30 15:32:04
LSD_OUTPUT1（L）,V,2.6,3.0,2.967,PASS,0.98,2026-05-30 15:32:05
LSD_OUTPUT1（H）,V,0.0,0.3,0.032,PASS,3.93,2026-05-30 15:32:09
LSD_OUTPUT2（L）,V,2.6,3.0,2.96,PASS,1.02,2026-05-30 15:32:10
LSD_OUTPUT2（H）,V,0.0,0.3,0.026,PASS,2.48,2026-05-30 15:32:13
LSD_OUTPUT3（L）,V,2.6,3.0,2.973,PASS,1.00,2026-05-30 15:32:14
LSD_OUTPUT3（H）,V,0.0,0.3,0.032,PASS,2.73,2026-05-30 15:32:16
LSD_OUTPUT4（L）,V,2.6,3.0,2.967,PASS,1.01,2026-05-30 15:32:17
LSD_OUTPUT4（H）,V,0.0,0.3,0.019,PASS,3.96,2026-05-30 15:32:21
@高压源控制-100V,V,99.0,101.0,100.0436,PASS,4.65,2026-05-30 15:32:26
高压1测试-100V,V,99.0,101.0,100.001,PASS,0.06,2026-05-30 15:32:26
高压2测试-100V,V,99.0,101.0,100.115,PASS,0.08,2026-05-30 15:32:26
高压3测试-100V,V,99.0,101.0,99.507,PASS,0.07,2026-05-30 15:32:26
@高压源控制-750V,V,749.0,751.0,750.0095,PASS,4.07,2026-05-30 15:32:30
高压1测试-750V,V,749.0,751.0,750.009,PASS,0.05,2026-05-30 15:32:30
高压2测试-750V,V,749.0,751.0,749.933,PASS,0.06,2026-05-30 15:32:30
高压3测试-750V,V,749.0,751.0,749.515,PASS,0.07,2026-05-30 15:32:31
@高压源控制-650V,V,649.0,651.0,650.0117,PASS,4.13,2026-05-30 15:32:35
绝缘采集测试-正极1MΩ,KΩ,800.0,1200.0,1007.2kΩ,PASS,41.92,2026-05-30 15:33:17
绝缘采集测试-负极30KΩ,KΩ,25.0,35.0,30.6kΩ,PASS,0.02,2026-05-30 15:33:17
@高压源控制-0V,V,0.0,1.0,0.5026,PASS,3.61,2026-05-30 15:33:20
快充口绝缘阻抗-100KΩ,Ω,80000.0,120000.0,92031.0,PASS,3.14,2026-05-30 15:33:23
快充口绝缘阻抗-500KΩ,Ω,425000.0,575000.0,470348.0,PASS,2.72,2026-05-30 15:33:26
第一路负极粘连检测-无效,V,4.9,5.02,4.994,PASS,2.05,2026-05-30 15:33:28
第一路负极粘连检测-有效,V,1.8,2.0,1.91,PASS,2.69,2026-05-30 15:33:31
第二路负极粘连检测-无效,V,4.9,5.02,4.999,PASS,2.03,2026-05-30 15:33:33
第二路负极粘连检测-有效,V,1.8,2.0,1.913,PASS,2.72,2026-05-30 15:33:36
CA550输出-2.5V,V,2.49,2.51,2.5,PASS,5.83,2026-05-30 15:33:41
HALL电流采集（2.5V）,V,2.4,2.6,2.5,PASS,1.56,2026-05-30 15:33:43
CA550输出-5V,V,4.99,5.01,5.0,PASS,3.03,2026-05-30 15:33:46
HALL电流采集（5V）,V,4.9,5.1,4.998,PASS,0.06,2026-05-30 15:33:46
CA550输出-0V,V,-0.01,0.01,0.0,PASS,3.83,2026-05-30 15:33:50
HALL电流采集（0V）,V,-0.1,0.1,0.0,PASS,0.08,2026-05-30 15:33:50
CA550输出-OFF,V,-0.01,0.01,0.0,PASS,6.09,2026-05-30 15:33:56
EEPROM测试,NULL,测试通过,--,测试通过,PASS,5.11,2026-05-30 15:34:01
1模拟电池输出-2.5V,V,44.946,45.054,45.0,PASS,24.05,2026-05-30 15:34:25
2模拟电池输出-2.5V,V,44.946,45.054,45.0,PASS,5.43,2026-05-30 15:34:31
3模拟电池输出-2.5V,V,44.946,45.054,45.0,PASS,5.45,2026-05-30 15:34:36
单体电压测试准备,NULL,--,--,OK,PASS,4.01,2026-05-30 15:34:40
节点配置,NULL,--,--,0.0,PASS,42.50,2026-05-30 15:35:23
单体电压读取_01,V,2.497,2.503,2.5,PASS,0.06,2026-05-30 15:35:23
单体电压读取_02,V,2.497,2.503,2.5,PASS,0.05,2026-05-30 15:35:23
单体电压读取_03,V,2.497,2.503,2.499,PASS,0.06,2026-05-30 15:35:23
单体电压读取_04,V,2.497,2.503,2.499,PASS,0.05,2026-05-30 15:35:23
单体电压读取_05,V,2.497,2.503,2.5,PASS,0.06,2026-05-30 15:35:23
单体电压读取_06,V,2.497,2.503,2.5,PASS,0.06,2026-05-30 15:35:23
单体电压读取_07,V,2.497,2.503,2.5,PASS,0.06,2026-05-30 15:35:23
单体电压读取_08,V,2.497,2.503,2.5,PASS,0.05,2026-05-30 15:35:23
单体电压读取_09,V,2.497,2.503,2.5,PASS,0.06,2026-05-30 15:35:23
单体电压读取_10,V,2.497,2.503,2.499,PASS,0.05,2026-05-30 15:35:23
单体电压读取_11,V,2.497,2.503,2.499,PASS,0.06,2026-05-30 15:35:23
单体电压读取_12,V,2.497,2.503,2.5,PASS,0.06,2026-05-30 15:35:23
单体电压读取_13,V,2.497,2.503,2.499,PASS,0.06,2026-05-30 15:35:24
单体电压读取_14,V,2.497,2.503,2.5,PASS,0.05,2026-05-30 15:35:24
单体电压读取_15,V,2.497,2.503,2.5,PASS,0.05,2026-05-30 15:35:24
单体电压读取_16,V,2.497,2.503,2.499,PASS,0.06,2026-05-30 15:35:24
单体电压读取_17,V,2.497,2.503,2.5,PASS,0.06,2026-05-30 15:35:24
单体电压读取_18,V,2.497,2.503,2.5,PASS,0.06,2026-05-30 15:35:24
单体电压读取_19,V,2.497,2.503,2.499,PASS,0.05,2026-05-30 15:35:24
单体电压读取_20,V,2.497,2.503,2.499,PASS,0.05,2026-05-30 15:35:24
单体电压读取_21,V,2.497,2.503,2.499,PASS,0.06,2026-05-30 15:35:24
单体电压读取_22,V,2.497,2.503,2.5,PASS,0.06,2026-05-30 15:35:24
单体电压读取_23,V,2.497,2.503,2.499,PASS,0.05,2026-05-30 15:35:24
单体电压读取_24,V,2.497,2.503,2.499,PASS,0.06,2026-05-30 15:35:24
