BMS老化测试详细判定报表

基本信息
通道号,1
货架号,
主机条码,未知主机
测试配方,DJ2513_Aging
测试开始时间,2026-07-24 23:38:54
测试结束时间,2026-07-24 23:42:43
测试总判定,PASS

详细判定数据
测试项名称,单位,下限,上限,测量值,判定结果,执行时间(秒),记录时间
设备初始化,NULL,--,--,PASS,PASS,8.20,2026-07-24 23:39:02
BMS板工作唤醒,NULL,--,--,PASS,PASS,7.35,2026-07-24 23:39:09
供电DCDC+电压测试,NULL,11.0,13.0,11.89,PASS,1.77,2026-07-24 23:39:11
供电P+电压测试,NULL,11.0,13.0,11.856,PASS,0.06,2026-07-24 23:39:11
CAN2通讯测试,NULL,OK,--,OK,PASS,1.70,2026-07-24 23:39:13
CAN4通讯测试,NULL,OK,--,OK,PASS,1.12,2026-07-24 23:39:14
CAN1通讯测试,NULL,OK,--,OK,PASS,1.17,2026-07-24 23:39:15
KL15唤醒源识别,NULL,11.0,13.0,12.128,PASS,0.77,2026-07-24 23:39:16
HALL 5V供电回采电压,NULL,4.0,6.0,4.993,PASS,0.05,2026-07-24 23:39:16
SIG1脉冲阻抗,Ω,40000.0,60000.0,49301.0,PASS,2.18,2026-07-24 23:39:18
SIG3脉冲阻抗,Ω,80000.0,120000.0,97240.0,PASS,2.20,2026-07-24 23:39:20
HVIL1-IN功能采集,V,9.0,11.0,9.507,PASS,5.10,2026-07-24 23:39:25
HVIL1-频率,Hz,47.0,53.0,50.0,PASS,0.05,2026-07-24 23:39:25
HVIL1-占空比,%,47.0,53.0,50.0,PASS,0.06,2026-07-24 23:39:25
HVIL1-OUT功能采集,V,9.0,11.0,9.296,PASS,5.14,2026-07-24 23:39:31
HVIL2-IN功能采集,V,9.0,11.0,9.586,PASS,5.08,2026-07-24 23:39:36
HVIL2-频率,Hz,47.0,53.0,50.0,PASS,0.06,2026-07-24 23:39:36
HVIL2-占空比,%,47.0,53.0,50.0,PASS,0.05,2026-07-24 23:39:36
HVIL2-OUT功能采集,V,9.0,11.0,9.191,PASS,5.15,2026-07-24 23:39:41
HVIL3-IN功能采集,V,9.0,11.0,9.553,PASS,5.19,2026-07-24 23:39:46
HVIL3-频率,Hz,47.0,53.0,50.0,PASS,0.07,2026-07-24 23:39:46
HVIL3-占空比,%,47.0,53.0,50.0,PASS,0.05,2026-07-24 23:39:46
HVIL3-OUT功能采集,V,9.0,11.0,9.547,PASS,5.14,2026-07-24 23:39:51
GB_2015+CC1无效测试,V,0.0,1.0,0.004,PASS,1.83,2026-07-24 23:39:53
GB_2015+CC1有效测试,V,3.0,5.0,3.964,PASS,0.67,2026-07-24 23:39:54
GB_2015+CC1有效测试(闭合CC1_2015+_S2),V,9.0,11.0,10.083,PASS,1.30,2026-07-24 23:39:55
Chaoji_CC2无效测试,V,1.0,1.5,1.356,PASS,2.22,2026-07-24 23:39:57
Chaoji_CC2有效测试,V,0.0,1.0,0.652,PASS,1.19,2026-07-24 23:39:59
Chaoji_CC2有效测试(闭合CC2_SW3),V,0.0,1.0,0.0,PASS,1.22,2026-07-24 23:40:00
Chaoji_CC2-PE断线模拟,V,0.0,1.0,0.004,PASS,2.14,2026-07-24 23:40:02
环境温度测试,℃,--,--,85.0,PASS,0.00,2026-07-24 23:40:02
NTC1,℃,--,--,85.0,PASS,0.06,2026-07-24 23:40:02
NTC2,℃,--,--,84.0,PASS,0.77,2026-07-24 23:40:03
NTC3,℃,--,--,85.0,PASS,0.04,2026-07-24 23:40:03
NTC4,℃,--,--,85.0,PASS,0.06,2026-07-24 23:40:03
HSD_OUTPUT1（LL）,V,2.0,4.0,2.925,PASS,1.52,2026-07-24 23:40:04
HSD_OUTPUT1（LH）,V,0.0,1.0,0.0,PASS,1.48,2026-07-24 23:40:06
HSD_OUTPUT1_CS（LH）,V,0.0,1.0,0.004,PASS,0.05,2026-07-24 23:40:06
HSD_OUTPUT1（HH）,V,10.0,12.5,10.806,PASS,1.49,2026-07-24 23:40:07
HSD_OUTPUT1_CS（HH）,V,0.0,1.0,0.76,PASS,1.13,2026-07-24 23:40:09
HSD_OUTPUT2（LL）,V,2.0,4.0,2.911,PASS,1.49,2026-07-24 23:40:10
HSD_OUTPUT2（LH）,V,0.0,1.0,0.0,PASS,1.52,2026-07-24 23:40:12
HSD_OUTPUT2_CS（LH）,V,0.0,1.0,0.004,PASS,0.04,2026-07-24 23:40:12
HSD_OUTPUT2（HH）,V,10.0,12.5,11.273,PASS,1.51,2026-07-24 23:40:13
HSD_OUTPUT2_CS（HH）,V,0.0,1.0,0.415,PASS,1.14,2026-07-24 23:40:14
HSD_OUTPUT3（LL）,V,2.0,4.0,2.904,PASS,1.01,2026-07-24 23:40:15
HSD_OUTPUT3（LH）,V,0.0,1.0,0.006,PASS,1.47,2026-07-24 23:40:17
HSD_OUTPUT3_CS（LH）,V,0.0,1.0,0.003,PASS,0.05,2026-07-24 23:40:17
HSD_OUTPUT3（HH）,V,10.0,12.5,10.779,PASS,1.50,2026-07-24 23:40:18
HSD_OUTPUT3_CS（HH）,V,0.0,1.0,0.768,PASS,0.45,2026-07-24 23:40:19
HSD_OUTPUT4（LL）,V,2.0,4.0,2.918,PASS,0.96,2026-07-24 23:40:20
HSD_OUTPUT4（LH）,V,0.0,1.0,0.006,PASS,0.99,2026-07-24 23:40:21
HSD_OUTPUT4_CS（LH）,V,0.0,1.0,0.004,PASS,0.05,2026-07-24 23:40:21
HSD_OUTPUT4（HH）,V,10.0,12.5,11.26,PASS,1.49,2026-07-24 23:40:22
HSD_OUTPUT4_CS（HH）,V,0.0,1.0,0.41,PASS,1.15,2026-07-24 23:40:23
HSD_OUTPUT5（L）,V,0.0,1.0,0.0,PASS,1.10,2026-07-24 23:40:25
HSD_OUTPUT5_CS（L）,V,0.0,1.0,0.004,PASS,0.05,2026-07-24 23:40:25
HSD_OUTPUT5（H）,V,10.0,12.5,10.752,PASS,1.12,2026-07-24 23:40:26
HSD_OUTPUT5_CS（H）,V,0.0,1.0,0.775,PASS,0.59,2026-07-24 23:40:26
HSD_OUTPUT6（L）,V,0.0,1.0,0.0,PASS,0.60,2026-07-24 23:40:27
HSD_OUTPUT6_CS（L）,V,0.0,1.0,0.003,PASS,0.06,2026-07-24 23:40:27
HSD_OUTPUT6（H）,V,10.0,12.5,11.28,PASS,1.11,2026-07-24 23:40:28
HSD_OUTPUT6_CS（H）,V,0.0,1.0,0.422,PASS,0.60,2026-07-24 23:40:29
HSD_OUTPUT7（L）,V,0.0,1.0,0.0,PASS,0.64,2026-07-24 23:40:29
HSD_OUTPUT7（H）,V,10.0,12.5,10.779,PASS,1.11,2026-07-24 23:40:30
HSD_OUTPUT7_CS（H）,V,0.0,1.0,0.76,PASS,1.84,2026-07-24 23:40:32
HSD_OUTPUT8（L）,V,0.0,1.0,0.0,PASS,0.64,2026-07-24 23:40:33
HSD_OUTPUT8（H）,V,10.0,12.5,11.341,PASS,1.10,2026-07-24 23:40:34
HSD_OUTPUT8_CS（H）,V,0.0,1.0,0.418,PASS,0.61,2026-07-24 23:40:35
LSD_OUTPUT1（L）,V,2.0,4.0,2.92,PASS,0.98,2026-07-24 23:40:36
LSD_OUTPUT1（H）,V,0.0,1.0,0.052,PASS,2.75,2026-07-24 23:40:38
LSD_OUTPUT2（L）,V,2.0,4.0,2.934,PASS,0.97,2026-07-24 23:40:39
LSD_OUTPUT2（H）,V,0.0,1.0,0.026,PASS,2.42,2026-07-24 23:40:42
LSD_OUTPUT3（L）,V,2.0,4.0,2.92,PASS,0.99,2026-07-24 23:40:43
LSD_OUTPUT3（H）,V,0.0,1.0,0.052,PASS,2.75,2026-07-24 23:40:46
LSD_OUTPUT4（L）,V,2.0,4.0,2.94,PASS,1.02,2026-07-24 23:40:47
LSD_OUTPUT4（H）,V,0.0,1.0,0.026,PASS,2.72,2026-07-24 23:40:49
