BMS老化测试详细判定报表

基本信息
通道号,3
货架号,01-A03
主机条码,1111
从机1条码,124
从机2条码,125
从机3条码,126
测试配方,DJ2513_Aging
测试开始时间,2026-05-30 19:34:57
测试结束时间,2026-05-30 19:41:04
测试总判定,PASS

详细判定数据
测试项名称,单位,下限,上限,测量值,判定结果,执行时间(秒),记录时间
HSD_OUTPUT6（H）,V,11.0,13.0,11.551,PASS,1.12,2026-05-30 19:36:28
HSD_OUTPUT6_CS（H）,V,0.35,0.5,0.432,PASS,0.60,2026-05-30 19:36:28
HSD_OUTPUT7（L）,V,0.0,0.1,0.0,PASS,0.60,2026-05-30 19:36:29
HSD_OUTPUT7（H）,V,11.0,13.0,11.117,PASS,1.11,2026-05-30 19:36:30
HSD_OUTPUT7_CS（H）,V,0.7,0.9,0.802,PASS,0.63,2026-05-30 19:36:31
HSD_OUTPUT8（L）,V,0.0,0.1,0.0,PASS,0.63,2026-05-30 19:36:31
HSD_OUTPUT8（H）,V,11.0,13.0,11.598,PASS,1.12,2026-05-30 19:36:32
HSD_OUTPUT8_CS（H）,V,0.35,0.5,0.428,PASS,0.63,2026-05-30 19:36:33
LSD_OUTPUT1（L）,V,2.6,3.0,2.96,PASS,0.98,2026-05-30 19:36:34
LSD_OUTPUT1（H）,V,0.0,0.3,0.032,PASS,2.76,2026-05-30 19:36:37
LSD_OUTPUT2（L）,V,2.6,3.0,2.967,PASS,0.98,2026-05-30 19:36:38
LSD_OUTPUT2（H）,V,0.0,0.3,0.026,PASS,2.41,2026-05-30 19:36:40
LSD_OUTPUT3（L）,V,2.6,3.0,2.953,PASS,0.98,2026-05-30 19:36:41
LSD_OUTPUT3（H）,V,0.0,0.3,0.039,PASS,2.69,2026-05-30 19:36:44
LSD_OUTPUT4（L）,V,2.6,3.0,2.973,PASS,1.01,2026-05-30 19:36:45
LSD_OUTPUT4（H）,V,0.0,0.3,0.026,PASS,2.70,2026-05-30 19:36:48
@高压源控制-100V,V,99.0,101.0,100.0483,PASS,6.23,2026-05-30 19:36:54
高压1测试-100V,V,99.0,101.0,100.229,PASS,0.08,2026-05-30 19:36:54
高压2测试-100V,V,99.0,101.0,100.115,PASS,0.08,2026-05-30 19:36:54
高压3测试-100V,V,99.0,101.0,99.431,PASS,0.06,2026-05-30 19:36:54
@高压源控制-750V,V,749.0,751.0,750.0646,PASS,4.11,2026-05-30 19:36:58
高压1测试-750V,V,749.0,751.0,749.895,PASS,0.05,2026-05-30 19:36:58
