BMS老化测试详细判定报表

基本信息
通道号,2
货架号,01-A02
主机条码,2
从机1条码,2
从机2条码,2
从机3条码,2
测试配方,DJ2513_Aging
测试开始时间,2026-05-23 23:15:30
测试结束时间,2026-05-23 23:19:21
测试总判定,NG

详细判定数据
测试项名称,单位,下限,上限,测量值,判定结果,执行时间(秒),记录时间
设备初始化,NULL,--,--,PASS,PASS,13.96,2026-05-23 23:15:44
BMS板工作唤醒,NULL,--,--,PASS,PASS,6.11,2026-05-23 23:15:50
供电DCDC+电压测试,NULL,11.0,13.0,12.052,PASS,1.77,2026-05-23 23:15:52
供电P+电压测试,NULL,11.0,13.0,12.072,PASS,0.05,2026-05-23 23:15:52
CAN2通讯测试,NULL,OK,--,OK,PASS,1.02,2026-05-23 23:15:53
CAN4通讯测试,NULL,OK,--,OK,PASS,1.01,2026-05-23 23:15:54
CAN1通讯测试,NULL,OK,--,OK,PASS,1.03,2026-05-23 23:15:55
KL15唤醒源识别,NULL,11.0,13.0,12.249,PASS,0.05,2026-05-23 23:15:55
HALL 5V供电回采电压,NULL,4.95,5.05,5.006,PASS,0.06,2026-05-23 23:15:55
SIG1脉冲阻抗,Ω,45000.0,55000.0,47920.0,PASS,2.05,2026-05-23 23:15:58
SIG3脉冲阻抗,Ω,90000.0,110000.0,98080.0,PASS,2.07,2026-05-23 23:16:00
HVIL1-IN功能采集,V,9.0,11.0,9.619,PASS,5.04,2026-05-23 23:16:05
HVIL1-频率,Hz,49.0,51.0,50.0,PASS,0.05,2026-05-23 23:16:05
HVIL1-占空比,%,49.0,51.0,50.0,PASS,0.06,2026-05-23 23:16:05
HVIL1-OUT功能采集,V,9.0,11.0,9.487,PASS,5.00,2026-05-23 23:16:10
HVIL2-IN功能采集,V,9.0,11.0,9.632,PASS,5.00,2026-05-23 23:16:15
HVIL2-频率,Hz,49.0,51.0,50.0,PASS,0.05,2026-05-23 23:16:15
HVIL2-占空比,%,49.0,51.0,50.0,PASS,0.04,2026-05-23 23:16:15
HVIL2-OUT功能采集,V,9.0,11.0,9.421,PASS,5.00,2026-05-23 23:16:20
HVIL3-IN功能采集,V,9.0,11.0,9.619,PASS,5.01,2026-05-23 23:16:25
HVIL3-频率,Hz,49.0,51.0,50.0,PASS,0.04,2026-05-23 23:16:25
HVIL3-占空比,%,49.0,51.0,50.0,PASS,0.07,2026-05-23 23:16:25
HVIL3-OUT功能采集,V,9.0,11.0,9.639,PASS,5.03,2026-05-23 23:16:30
GB_2015+CC1无效测试,V,0.0,0.15,0.004,PASS,1.59,2026-05-23 23:16:32
GB_2015+CC1有效测试,V,3.9,4.1,4.049,PASS,1.05,2026-05-23 23:16:33
GB_2015+CC1有效测试(闭合CC1_2015+_S2),V,9.5,10.5,10.139,PASS,1.13,2026-05-23 23:16:34
Chaoji_CC2无效测试,V,1.0,1.5,1.356,PASS,3.05,2026-05-23 23:16:37
Chaoji_CC2有效测试,V,0.5,0.8,0.661,PASS,1.08,2026-05-23 23:16:38
Chaoji_CC2有效测试(闭合CC2_SW3),V,0.0,0.15,0.0,PASS,1.85,2026-05-23 23:16:40
Chaoji_CC2-PE断线模拟,V,0.0,0.15,0.004,PASS,2.68,2026-05-23 23:16:42
环境温度测试,℃,0.0,85.0,25.2,PASS,0.21,2026-05-23 23:16:43
NTC1,℃,-45.0,90.0,25.0,PASS,0.05,2026-05-23 23:16:43
NTC2,℃,-45.0,90.0,25.0,PASS,0.05,2026-05-23 23:16:43
NTC3,℃,-45.0,90.0,25.0,PASS,0.05,2026-05-23 23:16:43
NTC4,℃,-45.0,90.0,25.0,PASS,0.02,2026-05-23 23:16:43
HSD_OUTPUT1（LL）,V,2.6,3.0,2.965,PASS,1.43,2026-05-23 23:16:44
HSD_OUTPUT1（LH）,V,0.0,0.3,0.006,PASS,1.46,2026-05-23 23:16:46
HSD_OUTPUT1_CS（LH）,V,0.0,0.05,0.003,PASS,0.05,2026-05-23 23:16:46
HSD_OUTPUT1（HH）,V,11.0,13.0,11.226,PASS,1.47,2026-05-23 23:16:47
HSD_OUTPUT1_CS（HH）,V,0.65,0.85,0.797,PASS,1.17,2026-05-23 23:16:48
HSD_OUTPUT2（LL）,V,2.6,3.0,2.965,PASS,1.48,2026-05-23 23:16:50
HSD_OUTPUT2（LH）,V,0.0,0.3,0.0,PASS,1.48,2026-05-23 23:16:51
HSD_OUTPUT2_CS（LH）,V,0.0,0.05,0.004,PASS,0.04,2026-05-23 23:16:51
HSD_OUTPUT2（HH）,V,11.0,13.0,11.612,PASS,1.48,2026-05-23 23:16:53
HSD_OUTPUT2_CS（HH）,V,0.35,0.5,0.429,PASS,1.15,2026-05-23 23:16:54
HSD_OUTPUT3（LL）,V,2.6,3.0,2.979,PASS,0.98,2026-05-23 23:16:55
HSD_OUTPUT3（LH）,V,0.0,0.3,0.006,PASS,1.48,2026-05-23 23:16:56
HSD_OUTPUT3_CS（LH）,V,0.0,0.05,0.003,PASS,0.05,2026-05-23 23:16:57
HSD_OUTPUT3（HH）,V,11.0,13.0,11.233,PASS,2.69,2026-05-23 23:16:59
HSD_OUTPUT3_CS（HH）,V,0.65,0.85,0.805,PASS,0.50,2026-05-23 23:17:00
HSD_OUTPUT4（LL）,V,2.6,3.0,2.931,PASS,0.98,2026-05-23 23:17:01
HSD_OUTPUT4（LH）,V,0.0,0.3,0.0,PASS,0.99,2026-05-23 23:17:02
HSD_OUTPUT4_CS（LH）,V,0.0,0.05,0.004,PASS,0.07,2026-05-23 23:17:02
HSD_OUTPUT4（HH）,V,11.0,13.0,11.551,PASS,1.45,2026-05-23 23:17:03
HSD_OUTPUT4_CS（HH）,V,0.35,0.5,0.428,PASS,1.15,2026-05-23 23:17:04
HSD_OUTPUT5（L）,V,0.0,0.3,0.0,PASS,1.09,2026-05-23 23:17:05
HSD_OUTPUT5_CS（L）,V,0.0,0.05,0.004,PASS,1.26,2026-05-23 23:17:07
HSD_OUTPUT5（H）,V,11.0,13.0,11.239,PASS,1.16,2026-05-23 23:17:08
HSD_OUTPUT5_CS（H）,V,0.65,0.85,0.807,PASS,0.61,2026-05-23 23:17:09
HSD_OUTPUT6（L）,V,0.0,0.3,0.0,PASS,0.60,2026-05-23 23:17:09
HSD_OUTPUT6_CS（L）,V,0.0,0.05,0.006,PASS,0.06,2026-05-23 23:17:09
HSD_OUTPUT6（H）,V,11.0,13.0,11.632,PASS,1.10,2026-05-23 23:17:10
HSD_OUTPUT6_CS（H）,V,0.35,0.5,0.434,PASS,0.60,2026-05-23 23:17:11
HSD_OUTPUT7（L）,V,0.0,0.1,0.0,PASS,0.60,2026-05-23 23:17:11
HSD_OUTPUT7（H）,V,11.0,13.0,11.172,PASS,1.09,2026-05-23 23:17:13
HSD_OUTPUT7_CS（H）,V,0.7,0.9,0.805,PASS,0.60,2026-05-23 23:17:13
HSD_OUTPUT8（L）,V,0.0,0.1,0.0,PASS,0.60,2026-05-23 23:17:14
HSD_OUTPUT8（H）,V,11.0,13.0,11.625,PASS,1.11,2026-05-23 23:17:15
HSD_OUTPUT8_CS（H）,V,0.35,0.5,0.432,PASS,0.60,2026-05-23 23:17:15
LSD_OUTPUT1（L）,V,2.6,3.0,2.967,PASS,0.97,2026-05-23 23:17:16
LSD_OUTPUT1（H）,V,0.0,0.3,0.026,PASS,2.72,2026-05-23 23:17:19
LSD_OUTPUT2（L）,V,2.6,3.0,2.96,PASS,0.95,2026-05-23 23:17:20
LSD_OUTPUT2（H）,V,0.0,0.3,0.026,PASS,3.60,2026-05-23 23:17:24
LSD_OUTPUT3（L）,V,2.6,3.0,2.973,PASS,0.99,2026-05-23 23:17:25
LSD_OUTPUT3（H）,V,0.0,0.3,0.039,PASS,2.72,2026-05-23 23:17:27
LSD_OUTPUT4（L）,V,2.6,3.0,2.967,PASS,0.99,2026-05-23 23:17:28
LSD_OUTPUT4（H）,V,0.0,0.3,0.026,PASS,2.74,2026-05-23 23:17:31
@高压源控制-100V,V,99.0,101.0,100.0517,PASS,7.14,2026-05-23 23:17:38
高压1测试-100V,V,99.0,101.0,100.191,PASS,0.05,2026-05-23 23:17:38
高压2测试-100V,V,99.0,101.0,100.077,PASS,0.05,2026-05-23 23:17:38
高压3测试-100V,V,99.0,101.0,99.659,PASS,0.05,2026-05-23 23:17:38
@高压源控制-750V,V,749.0,751.0,749.9955,PASS,4.09,2026-05-23 23:17:43
高压1测试-750V,V,749.0,751.0,749.819,PASS,0.08,2026-05-23 23:17:43
高压2测试-750V,V,749.0,751.0,749.933,PASS,0.05,2026-05-23 23:17:43
高压3测试-750V,V,749.0,751.0,749.553,PASS,0.06,2026-05-23 23:17:43
@高压源控制-650V,V,649.0,651.0,650.0006,PASS,4.13,2026-05-23 23:17:47
绝缘采集测试-正极1MΩ,KΩ,800.0,1200.0,999.4kΩ,PASS,67.80,2026-05-23 23:18:55
绝缘采集测试-负极30KΩ,KΩ,25.0,35.0,30.5kΩ,PASS,0.03,2026-05-23 23:18:55
@高压源控制-0V,V,0.0,1.0,0.4177,PASS,4.54,2026-05-23 23:18:59
快充口绝缘阻抗-100KΩ,Ω,80000.0,120000.0,93167.0,PASS,3.09,2026-05-23 23:19:02
快充口绝缘阻抗-500KΩ,Ω,425000.0,575000.0,460039.0,PASS,2.64,2026-05-23 23:19:05
第一路负极粘连检测-无效,V,4.9,5.02,4.993,PASS,3.05,2026-05-23 23:19:08
第一路负极粘连检测-有效,V,1.8,2.0,1.91,PASS,3.64,2026-05-23 23:19:12
第二路负极粘连检测-无效,V,4.9,5.02,4.999,PASS,3.08,2026-05-23 23:19:15
第二路负极粘连检测-有效,V,1.8,2.0,1.915,PASS,3.64,2026-05-23 23:19:18
CA550输出-2.5V,V,2.49,2.51,0.0,NG,3.11,2026-05-23 23:19:21
