BMS老化测试详细判定报表

基本信息
通道号,1
货架号,01-A01
主机条码,1
从机1条码,1
从机2条码,1
从机3条码,1
测试配方,DJ2513_Aging
测试开始时间,2026-05-23 23:20:12
测试结束时间,2026-05-23 23:26:46
测试总判定,PASS

详细判定数据
测试项名称,单位,下限,上限,测量值,判定结果,执行时间(秒),记录时间
设备初始化,NULL,--,--,PASS,PASS,17.48,2026-05-23 23:20:29
BMS板工作唤醒,NULL,--,--,PASS,PASS,6.12,2026-05-23 23:20:36
供电DCDC+电压测试,NULL,11.0,13.0,12.005,PASS,0.75,2026-05-23 23:20:36
供电P+电压测试,NULL,11.0,13.0,12.018,PASS,0.76,2026-05-23 23:20:37
CAN2通讯测试,NULL,OK,--,OK,PASS,1.02,2026-05-23 23:20:38
CAN4通讯测试,NULL,OK,--,OK,PASS,1.03,2026-05-23 23:20:39
CAN1通讯测试,NULL,OK,--,OK,PASS,1.03,2026-05-23 23:20:40
KL15唤醒源识别,NULL,11.0,13.0,12.128,PASS,0.05,2026-05-23 23:20:40
HALL 5V供电回采电压,NULL,4.95,5.05,4.991,PASS,0.06,2026-05-23 23:20:40
SIG1脉冲阻抗,Ω,45000.0,55000.0,47920.0,PASS,2.79,2026-05-23 23:20:43
SIG3脉冲阻抗,Ω,90000.0,110000.0,94967.0,PASS,2.07,2026-05-23 23:20:45
HVIL1-IN功能采集,V,9.0,11.0,9.586,PASS,5.02,2026-05-23 23:20:50
HVIL1-频率,Hz,49.0,51.0,50.0,PASS,0.05,2026-05-23 23:20:50
HVIL1-占空比,%,49.0,51.0,50.0,PASS,0.05,2026-05-23 23:20:50
HVIL1-OUT功能采集,V,9.0,11.0,9.415,PASS,5.01,2026-05-23 23:20:55
HVIL2-IN功能采集,V,9.0,11.0,9.58,PASS,5.03,2026-05-23 23:21:00
HVIL2-频率,Hz,49.0,51.0,50.0,PASS,0.04,2026-05-23 23:21:00
HVIL2-占空比,%,49.0,51.0,50.0,PASS,0.04,2026-05-23 23:21:00
HVIL2-OUT功能采集,V,9.0,11.0,9.369,PASS,5.02,2026-05-23 23:21:05
HVIL3-IN功能采集,V,9.0,11.0,9.593,PASS,5.05,2026-05-23 23:21:10
HVIL3-频率,Hz,49.0,51.0,50.0,PASS,0.06,2026-05-23 23:21:10
HVIL3-占空比,%,49.0,51.0,50.0,PASS,0.06,2026-05-23 23:21:11
HVIL3-OUT功能采集,V,9.0,11.0,9.573,PASS,5.08,2026-05-23 23:21:16
GB_2015+CC1无效测试,V,0.0,0.15,0.004,PASS,1.60,2026-05-23 23:21:17
GB_2015+CC1有效测试,V,3.9,4.1,4.028,PASS,1.79,2026-05-23 23:21:19
GB_2015+CC1有效测试(闭合CC1_2015+_S2),V,9.5,10.5,10.058,PASS,1.14,2026-05-23 23:21:20
Chaoji_CC2无效测试,V,1.0,1.5,1.365,PASS,3.06,2026-05-23 23:21:23
Chaoji_CC2有效测试,V,0.5,0.8,0.663,PASS,1.05,2026-05-23 23:21:24
Chaoji_CC2有效测试(闭合CC2_SW3),V,0.0,0.15,0.0,PASS,1.11,2026-05-23 23:21:25
Chaoji_CC2-PE断线模拟,V,0.0,0.15,0.004,PASS,2.74,2026-05-23 23:21:28
环境温度测试,℃,0.0,85.0,25.2,PASS,0.10,2026-05-23 23:21:28
NTC1,℃,-45.0,90.0,26.0,PASS,0.06,2026-05-23 23:21:28
NTC2,℃,-45.0,90.0,26.0,PASS,0.08,2026-05-23 23:21:28
NTC3,℃,-45.0,90.0,26.0,PASS,0.06,2026-05-23 23:21:28
NTC4,℃,-45.0,90.0,26.0,PASS,0.05,2026-05-23 23:21:28
HSD_OUTPUT1（LL）,V,2.6,3.0,2.945,PASS,1.46,2026-05-23 23:21:30
HSD_OUTPUT1（LH）,V,0.0,0.3,0.0,PASS,1.49,2026-05-23 23:21:31
HSD_OUTPUT1_CS（LH）,V,0.0,0.05,0.004,PASS,0.06,2026-05-23 23:21:31
