BMS老化测试详细判定报表

基本信息
通道号,2
货架号,01-A02
主机条码,2
从机1条码,2
从机2条码,2
从机3条码,2
测试配方,DJ2513_Aging
测试开始时间,2026-05-23 23:20:12
测试结束时间,2026-05-23 23:26:46
测试总判定,PASS

详细判定数据
测试项名称,单位,下限,上限,测量值,判定结果,执行时间(秒),记录时间
设备初始化,NULL,--,--,PASS,PASS,17.43,2026-05-23 23:20:29
BMS板工作唤醒,NULL,--,--,PASS,PASS,6.12,2026-05-23 23:20:35
供电DCDC+电压测试,NULL,11.0,13.0,12.025,PASS,1.77,2026-05-23 23:20:37
供电P+电压测试,NULL,11.0,13.0,12.065,PASS,0.05,2026-05-23 23:20:37
CAN2通讯测试,NULL,OK,--,OK,PASS,1.00,2026-05-23 23:20:38
CAN4通讯测试,NULL,OK,--,OK,PASS,1.03,2026-05-23 23:20:39
CAN1通讯测试,NULL,OK,--,OK,PASS,1.04,2026-05-23 23:20:40
KL15唤醒源识别,NULL,11.0,13.0,12.235,PASS,0.05,2026-05-23 23:20:40
HALL 5V供电回采电压,NULL,4.95,5.05,5.003,PASS,0.06,2026-05-23 23:20:41
SIG1脉冲阻抗,Ω,45000.0,55000.0,47466.0,PASS,2.05,2026-05-23 23:20:43
SIG3脉冲阻抗,Ω,90000.0,110000.0,95273.0,PASS,2.07,2026-05-23 23:20:45
HVIL1-IN功能采集,V,9.0,11.0,9.619,PASS,5.02,2026-05-23 23:20:50
HVIL1-频率,Hz,49.0,51.0,50.0,PASS,0.06,2026-05-23 23:20:50
HVIL1-占空比,%,49.0,51.0,50.0,PASS,0.05,2026-05-23 23:20:50
HVIL1-OUT功能采集,V,9.0,11.0,9.474,PASS,5.04,2026-05-23 23:20:55
HVIL2-IN功能采集,V,9.0,11.0,9.632,PASS,5.08,2026-05-23 23:21:00
HVIL2-频率,Hz,49.0,51.0,50.0,PASS,0.06,2026-05-23 23:21:00
HVIL2-占空比,%,49.0,51.0,50.0,PASS,0.05,2026-05-23 23:21:00
HVIL2-OUT功能采集,V,9.0,11.0,9.408,PASS,5.04,2026-05-23 23:21:05
HVIL3-IN功能采集,V,9.0,11.0,9.626,PASS,5.05,2026-05-23 23:21:10
HVIL3-频率,Hz,49.0,51.0,50.0,PASS,0.07,2026-05-23 23:21:10
HVIL3-占空比,%,49.0,51.0,50.0,PASS,0.06,2026-05-23 23:21:10
HVIL3-OUT功能采集,V,9.0,11.0,9.632,PASS,5.01,2026-05-23 23:21:15
GB_2015+CC1无效测试,V,0.0,0.15,0.004,PASS,1.62,2026-05-23 23:21:17
GB_2015+CC1有效测试,V,3.9,4.1,4.049,PASS,1.06,2026-05-23 23:21:18
GB_2015+CC1有效测试(闭合CC1_2015+_S2),V,9.5,10.5,10.139,PASS,1.14,2026-05-23 23:21:19
Chaoji_CC2无效测试,V,1.0,1.5,1.356,PASS,3.06,2026-05-23 23:21:22
Chaoji_CC2有效测试,V,0.5,0.8,0.661,PASS,1.06,2026-05-23 23:21:23
Chaoji_CC2有效测试(闭合CC2_SW3),V,0.0,0.15,0.0,PASS,1.12,2026-05-23 23:21:24
Chaoji_CC2-PE断线模拟,V,0.0,0.15,0.004,PASS,2.72,2026-05-23 23:21:27
环境温度测试,℃,0.0,85.0,25.2,PASS,1.18,2026-05-23 23:21:28
NTC1,℃,-45.0,90.0,26.0,PASS,0.06,2026-05-23 23:21:28
NTC2,℃,-45.0,90.0,26.0,PASS,0.09,2026-05-23 23:21:28
NTC3,℃,-45.0,90.0,26.0,PASS,0.05,2026-05-23 23:21:28
NTC4,℃,-45.0,90.0,26.0,PASS,0.06,2026-05-23 23:21:28
HSD_OUTPUT1（LL）,V,2.6,3.0,2.952,PASS,1.51,2026-05-23 23:21:30
HSD_OUTPUT1（LH）,V,0.0,0.3,0.0,PASS,1.49,2026-05-23 23:21:31
HSD_OUTPUT1_CS（LH）,V,0.0,0.05,0.004,PASS,0.06,2026-05-23 23:21:32
HSD_OUTPUT1（HH）,V,11.0,13.0,11.226,PASS,1.47,2026-05-23 23:21:33
