BMS老化测试详细判定报表

基本信息
通道号,1
货架号,01-A01
主机条码,1
从机1条码,1
从机2条码,1
从机3条码,1
测试配方,DJ2513_Aging
测试开始时间,2026-05-23 23:15:26
测试结束时间,2026-05-23 23:19:25
测试总判定,NG

详细判定数据
测试项名称,单位,下限,上限,测量值,判定结果,执行时间(秒),记录时间
设备初始化,NULL,--,--,PASS,PASS,18.31,2026-05-23 23:15:44
BMS板工作唤醒,NULL,--,--,PASS,PASS,6.11,2026-05-23 23:15:50
供电DCDC+电压测试,NULL,11.0,13.0,11.978,PASS,1.77,2026-05-23 23:15:52
供电P+电压测试,NULL,11.0,13.0,12.005,PASS,0.05,2026-05-23 23:15:52
CAN2通讯测试,NULL,OK,--,OK,PASS,1.02,2026-05-23 23:15:53
CAN4通讯测试,NULL,OK,--,OK,PASS,1.03,2026-05-23 23:15:54
CAN1通讯测试,NULL,OK,--,OK,PASS,1.03,2026-05-23 23:15:55
KL15唤醒源识别,NULL,11.0,13.0,12.141,PASS,0.05,2026-05-23 23:15:55
HALL 5V供电回采电压,NULL,4.95,5.05,4.993,PASS,0.05,2026-05-23 23:15:55
SIG1脉冲阻抗,Ω,45000.0,55000.0,49534.0,PASS,2.05,2026-05-23 23:15:58
SIG3脉冲阻抗,Ω,90000.0,110000.0,94457.0,PASS,2.07,2026-05-23 23:16:00
HVIL1-IN功能采集,V,9.0,11.0,9.593,PASS,5.04,2026-05-23 23:16:05
HVIL1-频率,Hz,49.0,51.0,50.0,PASS,0.05,2026-05-23 23:16:05
HVIL1-占空比,%,49.0,51.0,50.0,PASS,0.05,2026-05-23 23:16:05
HVIL1-OUT功能采集,V,9.0,11.0,9.421,PASS,5.00,2026-05-23 23:16:10
HVIL2-IN功能采集,V,9.0,11.0,9.567,PASS,5.05,2026-05-23 23:16:15
HVIL2-频率,Hz,49.0,51.0,50.0,PASS,0.04,2026-05-23 23:16:15
HVIL2-占空比,%,49.0,51.0,50.0,PASS,0.06,2026-05-23 23:16:15
HVIL2-OUT功能采集,V,9.0,11.0,9.369,PASS,5.06,2026-05-23 23:16:20
HVIL3-IN功能采集,V,9.0,11.0,9.586,PASS,5.04,2026-05-23 23:16:25
HVIL3-频率,Hz,49.0,51.0,50.0,PASS,0.05,2026-05-23 23:16:25
HVIL3-占空比,%,49.0,51.0,50.0,PASS,0.04,2026-05-23 23:16:25
HVIL3-OUT功能采集,V,9.0,11.0,9.58,PASS,5.03,2026-05-23 23:16:30
GB_2015+CC1无效测试,V,0.0,0.15,0.004,PASS,1.65,2026-05-23 23:16:32
GB_2015+CC1有效测试,V,3.9,4.1,4.024,PASS,1.05,2026-05-23 23:16:33
GB_2015+CC1有效测试(闭合CC1_2015+_S2),V,9.5,10.5,10.062,PASS,1.16,2026-05-23 23:16:34
Chaoji_CC2无效测试,V,1.0,1.5,1.366,PASS,3.05,2026-05-23 23:16:37
Chaoji_CC2有效测试,V,0.5,0.8,0.67,PASS,1.05,2026-05-23 23:16:38
Chaoji_CC2有效测试(闭合CC2_SW3),V,0.0,0.15,0.0,PASS,1.09,2026-05-23 23:16:39
Chaoji_CC2-PE断线模拟,V,0.0,0.15,0.008,PASS,2.75,2026-05-23 23:16:42
环境温度测试,℃,0.0,85.0,25.2,PASS,0.75,2026-05-23 23:16:43
NTC1,℃,-45.0,90.0,25.0,PASS,0.05,2026-05-23 23:16:43
NTC2,℃,-45.0,90.0,25.0,PASS,0.06,2026-05-23 23:16:43
NTC3,℃,-45.0,90.0,25.0,PASS,0.06,2026-05-23 23:16:43
NTC4,℃,-45.0,90.0,25.0,PASS,0.06,2026-05-23 23:16:43
HSD_OUTPUT1（LL）,V,2.6,3.0,2.945,PASS,1.46,2026-05-23 23:16:44
HSD_OUTPUT1（LH）,V,0.0,0.3,0.0,PASS,1.47,2026-05-23 23:16:46
HSD_OUTPUT1_CS（LH）,V,0.0,0.05,0.004,PASS,0.06,2026-05-23 23:16:46
HSD_OUTPUT1（HH）,V,11.0,13.0,11.084,PASS,1.49,2026-05-23 23:16:47
HSD_OUTPUT1_CS（HH）,V,0.65,0.85,0.781,PASS,1.15,2026-05-23 23:16:49
HSD_OUTPUT2（LL）,V,2.6,3.0,2.945,PASS,1.47,2026-05-23 23:16:50
HSD_OUTPUT2（LH）,V,0.0,0.3,0.006,PASS,2.68,2026-05-23 23:16:53
HSD_OUTPUT2_CS（LH）,V,0.0,0.05,0.004,PASS,0.06,2026-05-23 23:16:53
HSD_OUTPUT2（HH）,V,11.0,13.0,11.483,PASS,1.47,2026-05-23 23:16:54
HSD_OUTPUT2_CS（HH）,V,0.35,0.5,0.433,PASS,1.15,2026-05-23 23:16:55
HSD_OUTPUT3（LL）,V,2.6,3.0,2.938,PASS,0.99,2026-05-23 23:16:56
HSD_OUTPUT3（LH）,V,0.0,0.3,0.006,PASS,1.48,2026-05-23 23:16:58
HSD_OUTPUT3_CS（LH）,V,0.0,0.05,0.003,PASS,0.02,2026-05-23 23:16:58
HSD_OUTPUT3（HH）,V,11.0,13.0,11.063,PASS,1.45,2026-05-23 23:16:59
HSD_OUTPUT3_CS（HH）,V,0.65,0.85,0.785,PASS,0.46,2026-05-23 23:17:00
HSD_OUTPUT4（LL）,V,2.6,3.0,2.931,PASS,0.98,2026-05-23 23:17:01
HSD_OUTPUT4（LH）,V,0.0,0.3,0.0,PASS,0.99,2026-05-23 23:17:02
HSD_OUTPUT4_CS（LH）,V,0.0,0.05,0.003,PASS,0.06,2026-05-23 23:17:02
HSD_OUTPUT4（HH）,V,11.0,13.0,11.497,PASS,1.45,2026-05-23 23:17:03
HSD_OUTPUT4_CS（HH）,V,0.35,0.5,0.432,PASS,1.19,2026-05-23 23:17:04
HSD_OUTPUT5（L）,V,0.0,0.3,0.0,PASS,1.08,2026-05-23 23:17:06
HSD_OUTPUT5_CS（L）,V,0.0,0.05,0.004,PASS,0.05,2026-05-23 23:17:06
HSD_OUTPUT5（H）,V,11.0,13.0,11.057,PASS,1.09,2026-05-23 23:17:07
HSD_OUTPUT5_CS（H）,V,0.65,0.85,0.802,PASS,0.59,2026-05-23 23:17:07
HSD_OUTPUT6（L）,V,0.0,0.3,0.0,PASS,0.59,2026-05-23 23:17:08
HSD_OUTPUT6_CS（L）,V,0.0,0.05,0.004,PASS,0.08,2026-05-23 23:17:08
HSD_OUTPUT6（H）,V,11.0,13.0,11.463,PASS,1.09,2026-05-23 23:17:09
HSD_OUTPUT6_CS（H）,V,0.35,0.5,0.427,PASS,0.58,2026-05-23 23:17:10
HSD_OUTPUT7（L）,V,0.0,0.1,0.0,PASS,0.60,2026-05-23 23:17:10
HSD_OUTPUT7（H）,V,11.0,13.0,11.077,PASS,1.11,2026-05-23 23:17:11
HSD_OUTPUT7_CS（H）,V,0.7,0.9,0.802,PASS,0.55,2026-05-23 23:17:12
HSD_OUTPUT8（L）,V,0.0,0.1,0.0,PASS,0.61,2026-05-23 23:17:12
HSD_OUTPUT8（H）,V,11.0,13.0,11.551,PASS,1.09,2026-05-23 23:17:14
HSD_OUTPUT8_CS（H）,V,0.35,0.5,0.427,PASS,0.63,2026-05-23 23:17:14
LSD_OUTPUT1（L）,V,2.6,3.0,2.96,PASS,0.97,2026-05-23 23:17:15
LSD_OUTPUT1（H）,V,0.0,0.3,0.032,PASS,3.93,2026-05-23 23:17:19
LSD_OUTPUT2（L）,V,2.6,3.0,2.947,PASS,2.18,2026-05-23 23:17:21
LSD_OUTPUT2（H）,V,0.0,0.3,0.026,PASS,2.39,2026-05-23 23:17:24
LSD_OUTPUT3（L）,V,2.6,3.0,2.953,PASS,0.96,2026-05-23 23:17:25
LSD_OUTPUT3（H）,V,0.0,0.3,0.039,PASS,3.98,2026-05-23 23:17:29
LSD_OUTPUT4（L）,V,2.6,3.0,2.947,PASS,2.17,2026-05-23 23:17:31
LSD_OUTPUT4（H）,V,0.0,0.3,0.019,PASS,2.76,2026-05-23 23:17:34
@高压源控制-100V,V,99.0,101.0,100.0517,PASS,4.80,2026-05-23 23:17:38
高压1测试-100V,V,99.0,101.0,100.305,PASS,0.05,2026-05-23 23:17:38
高压2测试-100V,V,99.0,101.0,99.925,PASS,0.05,2026-05-23 23:17:38
高压3测试-100V,V,99.0,101.0,99.583,PASS,0.05,2026-05-23 23:17:38
@高压源控制-750V,V,749.0,751.0,749.9955,PASS,4.09,2026-05-23 23:17:43
高压1测试-750V,V,749.0,751.0,750.199,PASS,0.06,2026-05-23 23:17:43
高压2测试-750V,V,749.0,751.0,749.705,PASS,0.05,2026-05-23 23:17:43
高压3测试-750V,V,749.0,751.0,749.173,PASS,0.05,2026-05-23 23:17:43
@高压源控制-650V,V,649.0,651.0,650.0006,PASS,4.14,2026-05-23 23:17:47
绝缘采集测试-正极1MΩ,KΩ,800.0,1200.0,1015.3kΩ,PASS,67.80,2026-05-23 23:18:55
绝缘采集测试-负极30KΩ,KΩ,25.0,35.0,30.9kΩ,PASS,0.03,2026-05-23 23:18:55
@高压源控制-0V,V,0.0,1.0,0.4177,PASS,4.57,2026-05-23 23:18:59
快充口绝缘阻抗-100KΩ,Ω,80000.0,120000.0,93090.0,PASS,3.07,2026-05-23 23:19:02
快充口绝缘阻抗-500KΩ,Ω,425000.0,575000.0,461146.0,PASS,2.67,2026-05-23 23:19:05
第一路负极粘连检测-无效,V,4.9,5.02,4.988,PASS,3.05,2026-05-23 23:19:08
第一路负极粘连检测-有效,V,1.8,2.0,1.902,PASS,3.67,2026-05-23 23:19:12
第二路负极粘连检测-无效,V,4.9,5.02,4.998,PASS,3.05,2026-05-23 23:19:15
第二路负极粘连检测-有效,V,1.8,2.0,1.912,PASS,3.69,2026-05-23 23:19:18
CA550输出-2.5V,V,2.49,2.51,0.0,NG,6.05,2026-05-23 23:19:25
