BMS老化测试详细判定报表

基本信息
通道号,1
货架号,
主机条码,未知主机
测试配方,DJ2513_Aging
测试开始时间,2026-07-25 02:39:21
测试结束时间,2026-07-25 02:43:12
测试总判定,PASS

详细判定数据
测试项名称,单位,下限,上限,测量值,判定结果,执行时间(秒),记录时间
设备初始化,NULL,--,--,PASS,PASS,8.28,2026-07-25 02:39:30
BMS板工作唤醒,NULL,--,--,PASS,PASS,7.32,2026-07-25 02:39:37
供电DCDC+电压测试,NULL,11.0,13.0,11.89,PASS,1.82,2026-07-25 02:39:39
供电P+电压测试,NULL,11.0,13.0,11.883,PASS,0.76,2026-07-25 02:39:40
CAN2通讯测试,NULL,OK,--,OK,PASS,1.64,2026-07-25 02:39:41
CAN4通讯测试,NULL,OK,--,OK,PASS,1.10,2026-07-25 02:39:42
CAN1通讯测试,NULL,OK,--,OK,PASS,1.15,2026-07-25 02:39:44
KL15唤醒源识别,NULL,11.0,13.0,12.114,PASS,0.05,2026-07-25 02:39:44
HALL 5V供电回采电压,NULL,4.0,6.0,4.996,PASS,0.05,2026-07-25 02:39:44
SIG1脉冲阻抗,Ω,40000.0,60000.0,48206.0,PASS,2.22,2026-07-25 02:39:46
SIG3脉冲阻抗,Ω,80000.0,120000.0,96407.0,PASS,2.15,2026-07-25 02:39:48
HVIL1-IN功能采集,V,9.0,11.0,9.534,PASS,5.08,2026-07-25 02:39:53
HVIL1-频率,Hz,47.0,53.0,50.0,PASS,0.05,2026-07-25 02:39:53
HVIL1-占空比,%,47.0,53.0,50.0,PASS,0.05,2026-07-25 02:39:53
HVIL1-OUT功能采集,V,9.0,11.0,9.296,PASS,5.15,2026-07-25 02:39:58
HVIL2-IN功能采集,V,9.0,11.0,9.586,PASS,5.11,2026-07-25 02:40:03
HVIL2-频率,Hz,47.0,53.0,50.0,PASS,0.05,2026-07-25 02:40:04
HVIL2-占空比,%,47.0,53.0,50.0,PASS,0.05,2026-07-25 02:40:04
HVIL2-OUT功能采集,V,9.0,11.0,9.184,PASS,5.14,2026-07-25 02:40:09
HVIL3-IN功能采集,V,9.0,11.0,9.56,PASS,5.09,2026-07-25 02:40:14
HVIL3-频率,Hz,47.0,53.0,50.0,PASS,0.05,2026-07-25 02:40:14
HVIL3-占空比,%,47.0,53.0,50.0,PASS,0.09,2026-07-25 02:40:14
HVIL3-OUT功能采集,V,9.0,11.0,9.547,PASS,5.14,2026-07-25 02:40:19
GB_2015+CC1无效测试,V,0.0,1.0,0.004,PASS,1.77,2026-07-25 02:40:21
GB_2015+CC1有效测试,V,3.0,5.0,4.019,PASS,0.66,2026-07-25 02:40:22
GB_2015+CC1有效测试(闭合CC1_2015+_S2),V,9.0,11.0,10.122,PASS,1.24,2026-07-25 02:40:23
Chaoji_CC2无效测试,V,1.0,1.5,1.357,PASS,2.23,2026-07-25 02:40:25
Chaoji_CC2有效测试,V,0.0,1.0,0.652,PASS,1.20,2026-07-25 02:40:26
Chaoji_CC2有效测试(闭合CC2_SW3),V,0.0,1.0,0.0,PASS,1.21,2026-07-25 02:40:27
Chaoji_CC2-PE断线模拟,V,0.0,1.0,0.004,PASS,2.18,2026-07-25 02:40:30
环境温度测试,℃,--,--,85.5,PASS,0.24,2026-07-25 02:40:30
NTC1,℃,--,--,85.0,PASS,0.06,2026-07-25 02:40:30
NTC2,℃,--,--,84.0,PASS,0.05,2026-07-25 02:40:30
NTC3,℃,--,--,86.0,PASS,0.06,2026-07-25 02:40:30
NTC4,℃,--,--,85.0,PASS,0.05,2026-07-25 02:40:30
HSD_OUTPUT1（LL）,V,2.0,4.0,2.918,PASS,1.46,2026-07-25 02:40:31
HSD_OUTPUT1（LH）,V,0.0,1.0,0.006,PASS,1.49,2026-07-25 02:40:33
HSD_OUTPUT1_CS（LH）,V,0.0,1.0,0.004,PASS,0.06,2026-07-25 02:40:33
HSD_OUTPUT1（HH）,V,10.0,12.5,10.779,PASS,1.47,2026-07-25 02:40:35
HSD_OUTPUT1_CS（HH）,V,0.0,1.0,0.759,PASS,1.16,2026-07-25 02:40:36
HSD_OUTPUT2（LL）,V,2.0,4.0,2.918,PASS,1.48,2026-07-25 02:40:37
HSD_OUTPUT2（LH）,V,0.0,1.0,0.006,PASS,1.47,2026-07-25 02:40:39
HSD_OUTPUT2_CS（LH）,V,0.0,1.0,0.004,PASS,0.05,2026-07-25 02:40:39
HSD_OUTPUT2（HH）,V,10.0,12.5,11.26,PASS,1.44,2026-07-25 02:40:40
HSD_OUTPUT2_CS（HH）,V,0.0,1.0,0.411,PASS,1.16,2026-07-25 02:40:41
HSD_OUTPUT3（LL）,V,2.0,4.0,2.904,PASS,0.97,2026-07-25 02:40:42
HSD_OUTPUT3（LH）,V,0.0,1.0,0.0,PASS,1.46,2026-07-25 02:40:44
HSD_OUTPUT3_CS（LH）,V,0.0,1.0,0.004,PASS,0.05,2026-07-25 02:40:44
HSD_OUTPUT3（HH）,V,10.0,12.5,10.765,PASS,1.48,2026-07-25 02:40:45
HSD_OUTPUT3_CS（HH）,V,0.0,1.0,0.77,PASS,1.67,2026-07-25 02:40:47
HSD_OUTPUT4（LL）,V,2.0,4.0,2.918,PASS,1.01,2026-07-25 02:40:48
HSD_OUTPUT4（LH）,V,0.0,1.0,0.0,PASS,0.98,2026-07-25 02:40:49
HSD_OUTPUT4_CS（LH）,V,0.0,1.0,0.004,PASS,0.07,2026-07-25 02:40:49
HSD_OUTPUT4（HH）,V,10.0,12.5,11.28,PASS,1.49,2026-07-25 02:40:50
HSD_OUTPUT4_CS（HH）,V,0.0,1.0,0.413,PASS,1.19,2026-07-25 02:40:52
HSD_OUTPUT5（L）,V,0.0,1.0,0.0,PASS,1.10,2026-07-25 02:40:53
