BMS老化测试详细判定报表

基本信息
通道号,4
货架号,01-A04
主机条码,4
从机1条码,44
从机2条码,444
从机3条码,4444
测试配方,DJ2513_Aging
测试开始时间,2026-05-24 14:46:13
测试结束时间,2026-05-24 14:53:09
测试总判定,PASS

详细判定数据
测试项名称,单位,下限,上限,测量值,判定结果,执行时间(秒),记录时间
设备初始化,NULL,--,--,PASS,PASS,11.65,2026-05-24 14:46:24
BMS板工作唤醒,NULL,--,--,PASS,PASS,6.11,2026-05-24 14:46:31
供电DCDC+电压测试,NULL,11.0,13.0,12.058,PASS,0.81,2026-05-24 14:46:31
供电P+电压测试,NULL,11.0,13.0,12.072,PASS,0.75,2026-05-24 14:46:32
CAN2通讯测试,NULL,OK,--,OK,PASS,1.04,2026-05-24 14:46:33
CAN4通讯测试,NULL,OK,--,OK,PASS,1.11,2026-05-24 14:46:34
CAN1通讯测试,NULL,OK,--,OK,PASS,1.03,2026-05-24 14:46:35
KL15唤醒源识别,NULL,11.0,13.0,12.195,PASS,0.77,2026-05-24 14:46:36
HALL 5V供电回采电压,NULL,4.95,5.05,4.996,PASS,0.04,2026-05-24 14:46:36
SIG1脉冲阻抗,Ω,45000.0,55000.0,48263.0,PASS,2.10,2026-05-24 14:46:38
SIG3脉冲阻抗,Ω,90000.0,110000.0,97870.0,PASS,2.05,2026-05-24 14:46:40
HVIL1-IN功能采集,V,9.0,11.0,9.646,PASS,5.02,2026-05-24 14:46:45
HVIL1-频率,Hz,49.0,51.0,50.0,PASS,0.88,2026-05-24 14:46:46
HVIL1-占空比,%,49.0,51.0,50.0,PASS,0.05,2026-05-24 14:46:46
HVIL1-OUT功能采集,V,9.0,11.0,9.468,PASS,5.00,2026-05-24 14:46:51
HVIL2-IN功能采集,V,9.0,11.0,9.632,PASS,5.05,2026-05-24 14:46:56
HVIL2-频率,Hz,49.0,51.0,50.0,PASS,0.05,2026-05-24 14:46:56
HVIL2-占空比,%,49.0,51.0,50.0,PASS,0.05,2026-05-24 14:46:56
HVIL2-OUT功能采集,V,9.0,11.0,9.435,PASS,5.03,2026-05-24 14:47:01
HVIL3-IN功能采集,V,9.0,11.0,9.632,PASS,5.03,2026-05-24 14:47:07
HVIL3-频率,Hz,49.0,51.0,50.0,PASS,0.06,2026-05-24 14:47:07
HVIL3-占空比,%,49.0,51.0,50.0,PASS,0.06,2026-05-24 14:47:07
HVIL3-OUT功能采集,V,9.0,11.0,9.646,PASS,5.02,2026-05-24 14:47:12
GB_2015+CC1无效测试,V,0.0,0.15,0.0,PASS,1.62,2026-05-24 14:47:13
GB_2015+CC1有效测试,V,3.9,4.1,4.088,PASS,0.57,2026-05-24 14:47:14
GB_2015+CC1有效测试(闭合CC1_2015+_S2),V,9.5,10.5,10.207,PASS,1.15,2026-05-24 14:47:15
Chaoji_CC2无效测试,V,1.0,1.5,1.357,PASS,2.25,2026-05-24 14:47:17
Chaoji_CC2有效测试,V,0.5,0.8,0.663,PASS,1.06,2026-05-24 14:47:18
Chaoji_CC2有效测试(闭合CC2_SW3),V,0.0,0.15,0.0,PASS,1.11,2026-05-24 14:47:19
Chaoji_CC2-PE断线模拟,V,0.0,0.15,0.004,PASS,1.70,2026-05-24 14:47:21
环境温度测试,℃,0.0,85.0,28.1,PASS,1.48,2026-05-24 14:47:23
NTC1,℃,-45.0,90.0,26.0,PASS,0.08,2026-05-24 14:47:23
NTC2,℃,-45.0,90.0,26.0,PASS,0.06,2026-05-24 14:47:23
NTC3,℃,-45.0,90.0,26.0,PASS,0.05,2026-05-24 14:47:23
NTC4,℃,-45.0,90.0,26.0,PASS,0.06,2026-05-24 14:47:23
HSD_OUTPUT1（LL）,V,2.6,3.0,2.972,PASS,1.50,2026-05-24 14:47:24
HSD_OUTPUT1（LH）,V,0.0,0.3,0.006,PASS,1.50,2026-05-24 14:47:26
HSD_OUTPUT1_CS（LH）,V,0.0,0.05,0.004,PASS,0.05,2026-05-24 14:47:26
HSD_OUTPUT1（HH）,V,11.0,13.0,11.253,PASS,1.48,2026-05-24 14:47:27
HSD_OUTPUT1_CS（HH）,V,0.65,0.85,0.8,PASS,1.16,2026-05-24 14:47:29
HSD_OUTPUT2（LL）,V,2.6,3.0,2.958,PASS,1.49,2026-05-24 14:47:30
HSD_OUTPUT2（LH）,V,0.0,0.3,0.0,PASS,1.46,2026-05-24 14:47:32
HSD_OUTPUT2_CS（LH）,V,0.0,0.05,0.004,PASS,0.06,2026-05-24 14:47:32
HSD_OUTPUT2（HH）,V,11.0,13.0,11.646,PASS,1.47,2026-05-24 14:47:33
HSD_OUTPUT2_CS（HH）,V,0.35,0.5,0.429,PASS,1.16,2026-05-24 14:47:34
HSD_OUTPUT3（LL）,V,2.6,3.0,2.972,PASS,0.95,2026-05-24 14:47:35
