BMS老化测试详细判定报表

基本信息
通道号,2
货架号,01-A02
主机条码,12345
从机1条码,23456
从机2条码,34567
从机3条码,43567
测试配方,DJ2513_Aging
测试开始时间,2026-05-24 13:56:22
测试结束时间,2026-05-24 14:01:58
测试总判定,NG

详细判定数据
测试项名称,单位,下限,上限,测量值,判定结果,执行时间(秒),记录时间
HSD_OUTPUT6（H）,V,11.0,13.0,11.646,PASS,1.10,2026-05-24 13:58:01
HSD_OUTPUT6_CS（H）,V,0.35,0.5,0.434,PASS,0.59,2026-05-24 13:58:02
HSD_OUTPUT7（L）,V,0.0,0.1,0.0,PASS,0.59,2026-05-24 13:58:02
HSD_OUTPUT7（H）,V,11.0,13.0,11.206,PASS,1.11,2026-05-24 13:58:03
HSD_OUTPUT7_CS（H）,V,0.7,0.9,0.807,PASS,0.60,2026-05-24 13:58:04
HSD_OUTPUT8（L）,V,0.0,0.1,0.0,PASS,0.60,2026-05-24 13:58:04
HSD_OUTPUT8（H）,V,11.0,13.0,11.632,PASS,1.10,2026-05-24 13:58:06
HSD_OUTPUT8_CS（H）,V,0.35,0.5,0.433,PASS,0.60,2026-05-24 13:58:06
LSD_OUTPUT1（L）,V,2.6,3.0,2.96,PASS,0.96,2026-05-24 13:58:07
LSD_OUTPUT1（H）,V,0.0,0.3,0.032,PASS,2.74,2026-05-24 13:58:10
LSD_OUTPUT2（L）,V,2.6,3.0,2.967,PASS,0.97,2026-05-24 13:58:11
LSD_OUTPUT2（H）,V,0.0,0.3,0.013,PASS,2.40,2026-05-24 13:58:13
LSD_OUTPUT3（L）,V,2.6,3.0,2.98,PASS,0.96,2026-05-24 13:58:14
LSD_OUTPUT3（H）,V,0.0,0.3,0.039,PASS,2.70,2026-05-24 13:58:17
LSD_OUTPUT4（L）,V,2.6,3.0,2.967,PASS,0.96,2026-05-24 13:58:18
LSD_OUTPUT4（H）,V,0.0,0.3,0.026,PASS,2.72,2026-05-24 13:58:21
@高压源控制-100V,V,99.0,101.0,100.0557,PASS,9.54,2026-05-24 13:58:30
高压1测试-100V,V,99.0,101.0,100.153,PASS,0.05,2026-05-24 13:58:30
高压2测试-100V,V,99.0,101.0,100.001,PASS,0.06,2026-05-24 13:58:30
高压3测试-100V,V,99.0,101.0,99.621,PASS,0.05,2026-05-24 13:58:30
@高压源控制-750V,V,749.0,751.0,750.0176,PASS,4.10,2026-05-24 13:58:34
