BMS老化测试详细判定报表

基本信息
通道号,4
货架号,01-A04
主机条码,4
从机1条码,44
从机2条码,444
从机3条码,4444
测试配方,DJ2513_Aging
测试开始时间,2026-05-24 15:52:12
测试结束时间,2026-05-24 15:59:46
测试总判定,PASS

详细判定数据
测试项名称,单位,下限,上限,测量值,判定结果,执行时间(秒),记录时间
设备初始化,NULL,--,--,PASS,PASS,11.51,2026-05-24 15:52:23
BMS板工作唤醒,NULL,--,--,PASS,PASS,6.22,2026-05-24 15:52:29
供电DCDC+电压测试,NULL,11.0,13.0,12.045,PASS,1.94,2026-05-24 15:52:31
供电P+电压测试,NULL,11.0,13.0,12.052,PASS,0.06,2026-05-24 15:52:31
CAN2通讯测试,NULL,OK,--,OK,PASS,1.10,2026-05-24 15:52:32
CAN4通讯测试,NULL,OK,--,OK,PASS,1.11,2026-05-24 15:52:34
CAN1通讯测试,NULL,OK,--,OK,PASS,1.13,2026-05-24 15:52:35
KL15唤醒源识别,NULL,11.0,13.0,12.208,PASS,0.05,2026-05-24 15:52:35
HALL 5V供电回采电压,NULL,4.95,5.05,4.993,PASS,0.05,2026-05-24 15:52:35
SIG1脉冲阻抗,Ω,45000.0,55000.0,47864.0,PASS,2.04,2026-05-24 15:52:39
SIG3脉冲阻抗,Ω,90000.0,110000.0,95273.0,PASS,2.08,2026-05-24 15:52:41
HVIL1-IN功能采集,V,9.0,11.0,9.646,PASS,5.03,2026-05-24 15:52:46
HVIL1-频率,Hz,49.0,51.0,50.0,PASS,0.09,2026-05-24 15:52:46
HVIL1-占空比,%,49.0,51.0,50.0,PASS,0.05,2026-05-24 15:52:46
HVIL1-OUT功能采集,V,9.0,11.0,9.474,PASS,5.01,2026-05-24 15:52:51
HVIL2-IN功能采集,V,9.0,11.0,9.646,PASS,5.01,2026-05-24 15:52:56
HVIL2-频率,Hz,49.0,51.0,50.0,PASS,0.06,2026-05-24 15:52:56
HVIL2-占空比,%,49.0,51.0,50.0,PASS,0.05,2026-05-24 15:52:56
HVIL2-OUT功能采集,V,9.0,11.0,9.448,PASS,5.05,2026-05-24 15:53:02
HVIL3-IN功能采集,V,9.0,11.0,9.639,PASS,5.03,2026-05-24 15:53:07
HVIL3-频率,Hz,49.0,51.0,50.0,PASS,0.05,2026-05-24 15:53:07
HVIL3-占空比,%,49.0,51.0,50.0,PASS,0.05,2026-05-24 15:53:07
HVIL3-OUT功能采集,V,9.0,11.0,9.639,PASS,5.05,2026-05-24 15:53:12
GB_2015+CC1无效测试,V,0.0,0.15,0.004,PASS,1.64,2026-05-24 15:53:13
GB_2015+CC1有效测试,V,3.9,4.1,4.083,PASS,0.58,2026-05-24 15:53:14
GB_2015+CC1有效测试(闭合CC1_2015+_S2),V,9.5,10.5,10.207,PASS,1.15,2026-05-24 15:53:15
Chaoji_CC2无效测试,V,1.0,1.5,1.357,PASS,2.22,2026-05-24 15:53:17
Chaoji_CC2有效测试,V,0.5,0.8,0.663,PASS,1.05,2026-05-24 15:53:18
Chaoji_CC2有效测试(闭合CC2_SW3),V,0.0,0.15,0.0,PASS,1.15,2026-05-24 15:53:19
Chaoji_CC2-PE断线模拟,V,0.0,0.15,0.004,PASS,1.73,2026-05-24 15:53:21
环境温度测试,℃,-40.0,85.0,6.0,PASS,0.01,2026-05-24 15:53:21
NTC1,℃,-45.0,90.0,26.0,PASS,0.05,2026-05-24 15:53:21
NTC2,℃,-45.0,90.0,26.0,PASS,0.05,2026-05-24 15:53:21
NTC3,℃,-45.0,90.0,26.0,PASS,0.05,2026-05-24 15:53:21
NTC4,℃,-45.0,90.0,26.0,PASS,0.05,2026-05-24 15:53:21
HSD_OUTPUT1（LL）,V,2.6,3.0,2.965,PASS,1.47,2026-05-24 15:53:23
HSD_OUTPUT1（LH）,V,0.0,0.3,0.006,PASS,1.46,2026-05-24 15:53:24
HSD_OUTPUT1_CS（LH）,V,0.0,0.05,0.003,PASS,0.06,2026-05-24 15:53:24
HSD_OUTPUT1（HH）,V,11.0,13.0,11.233,PASS,1.48,2026-05-24 15:53:26
HSD_OUTPUT1_CS（HH）,V,0.65,0.85,0.802,PASS,1.14,2026-05-24 15:53:27
HSD_OUTPUT2（LL）,V,2.6,3.0,2.972,PASS,1.46,2026-05-24 15:53:29
HSD_OUTPUT2（LH）,V,0.0,0.3,0.006,PASS,1.52,2026-05-24 15:53:30
HSD_OUTPUT2_CS（LH）,V,0.0,0.05,0.004,PASS,0.05,2026-05-24 15:53:30
HSD_OUTPUT2（HH）,V,11.0,13.0,11.625,PASS,1.49,2026-05-24 15:53:32
HSD_OUTPUT2_CS（HH）,V,0.35,0.5,0.431,PASS,1.16,2026-05-24 15:53:33
HSD_OUTPUT3（LL）,V,2.6,3.0,2.972,PASS,0.97,2026-05-24 15:53:34
HSD_OUTPUT3（LH）,V,0.0,0.3,0.0,PASS,1.55,2026-05-24 15:53:35
HSD_OUTPUT3_CS（LH）,V,0.0,0.05,0.004,PASS,0.05,2026-05-24 15:53:35
HSD_OUTPUT3（HH）,V,11.0,13.0,11.253,PASS,1.46,2026-05-24 15:53:37
HSD_OUTPUT3_CS（HH）,V,0.65,0.85,0.802,PASS,0.48,2026-05-24 15:53:37
HSD_OUTPUT4（LL）,V,2.6,3.0,2.972,PASS,0.98,2026-05-24 15:53:38
HSD_OUTPUT4（LH）,V,0.0,0.3,0.0,PASS,1.00,2026-05-24 15:53:39
HSD_OUTPUT4_CS（LH）,V,0.0,0.05,0.004,PASS,0.07,2026-05-24 15:53:39
HSD_OUTPUT4（HH）,V,11.0,13.0,11.591,PASS,1.50,2026-05-24 15:53:41
HSD_OUTPUT4_CS（HH）,V,0.35,0.5,0.429,PASS,1.15,2026-05-24 15:53:42
HSD_OUTPUT5（L）,V,0.0,0.3,0.0,PASS,1.23,2026-05-24 15:53:43
HSD_OUTPUT5_CS（L）,V,0.0,0.05,0.004,PASS,0.06,2026-05-24 15:53:43
HSD_OUTPUT5（H）,V,11.0,13.0,11.219,PASS,1.12,2026-05-24 15:53:44
HSD_OUTPUT5_CS（H）,V,0.65,0.85,0.811,PASS,0.64,2026-05-24 15:53:45
HSD_OUTPUT6（L）,V,0.0,0.3,0.006,PASS,0.60,2026-05-24 15:53:46
HSD_OUTPUT6_CS（L）,V,0.0,0.05,0.004,PASS,0.05,2026-05-24 15:53:46
HSD_OUTPUT6（H）,V,11.0,13.0,11.619,PASS,1.09,2026-05-24 15:53:47
HSD_OUTPUT6_CS（H）,V,0.35,0.5,0.437,PASS,0.60,2026-05-24 15:53:47
HSD_OUTPUT7（L）,V,0.0,0.1,0.0,PASS,0.60,2026-05-24 15:53:48
HSD_OUTPUT7（H）,V,11.0,13.0,11.253,PASS,1.20,2026-05-24 15:53:49
HSD_OUTPUT7_CS（H）,V,0.7,0.9,0.8,PASS,0.58,2026-05-24 15:53:50
HSD_OUTPUT8（L）,V,0.0,0.1,0.0,PASS,0.61,2026-05-24 15:53:50
HSD_OUTPUT8（H）,V,11.0,13.0,11.625,PASS,1.13,2026-05-24 15:53:52
HSD_OUTPUT8_CS（H）,V,0.35,0.5,0.428,PASS,0.63,2026-05-24 15:53:52
LSD_OUTPUT1（L）,V,2.6,3.0,2.967,PASS,0.97,2026-05-24 15:53:53
LSD_OUTPUT1（H）,V,0.0,0.3,0.052,PASS,2.75,2026-05-24 15:53:56
LSD_OUTPUT2（L）,V,2.6,3.0,2.973,PASS,0.96,2026-05-24 15:53:57
LSD_OUTPUT2（H）,V,0.0,0.3,0.019,PASS,2.37,2026-05-24 15:53:59
LSD_OUTPUT3（L）,V,2.6,3.0,2.98,PASS,0.96,2026-05-24 15:54:00
LSD_OUTPUT3（H）,V,0.0,0.3,0.039,PASS,2.75,2026-05-24 15:54:03
LSD_OUTPUT4（L）,V,2.6,3.0,2.98,PASS,0.96,2026-05-24 15:54:04
LSD_OUTPUT4（H）,V,0.0,0.3,0.026,PASS,2.80,2026-05-24 15:54:07
@高压源控制-100V,V,99.0,101.0,100.0592,PASS,6.81,2026-05-24 15:54:14
高压1测试-100V,V,99.0,101.0,100.305,PASS,0.09,2026-05-24 15:54:14
高压2测试-100V,V,99.0,101.0,100.001,PASS,1.28,2026-05-24 15:54:15
高压3测试-100V,V,99.0,101.0,99.583,PASS,0.05,2026-05-24 15:54:15
@高压源控制-750V,V,749.0,751.0,750.0022,PASS,4.47,2026-05-24 15:54:20
高压1测试-750V,V,749.0,751.0,749.933,PASS,0.06,2026-05-24 15:54:20
高压2测试-750V,V,749.0,751.0,750.009,PASS,0.03,2026-05-24 15:54:20
高压3测试-750V,V,749.0,751.0,749.249,PASS,0.07,2026-05-24 15:54:20
@高压源控制-650V,V,649.0,651.0,649.9855,PASS,4.13,2026-05-24 15:54:24
绝缘采集测试-正极1MΩ,KΩ,800.0,1200.0,994.9kΩ,PASS,85.86,2026-05-24 15:55:50
绝缘采集测试-负极30KΩ,KΩ,25.0,35.0,30.4kΩ,PASS,0.06,2026-05-24 15:55:50
@高压源控制-0V,V,0.0,1.0,0.5257,PASS,3.61,2026-05-24 15:55:53
快充口绝缘阻抗-100KΩ,Ω,80000.0,120000.0,92069.0,PASS,3.21,2026-05-24 15:55:57
快充口绝缘阻抗-500KΩ,Ω,425000.0,575000.0,460032.0,PASS,2.70,2026-05-24 15:55:59
第一路负极粘连检测-无效,V,4.9,5.02,4.99,PASS,2.08,2026-05-24 15:56:01
第一路负极粘连检测-有效,V,1.8,2.0,1.904,PASS,2.78,2026-05-24 15:56:04
第二路负极粘连检测-无效,V,4.9,5.02,4.999,PASS,2.06,2026-05-24 15:56:06
第二路负极粘连检测-有效,V,1.8,2.0,1.913,PASS,2.69,2026-05-24 15:56:09
CA550输出-2.5V,V,2.49,2.51,2.5,PASS,8.15,2026-05-24 15:56:17
HALL电流采集（2.5V）,V,2.4,2.6,2.506,PASS,1.56,2026-05-24 15:56:19
CA550输出-5V,V,4.99,5.01,5.0,PASS,5.83,2026-05-24 15:56:25
HALL电流采集（5V）,V,4.9,5.1,4.999,PASS,0.05,2026-05-24 15:56:25
CA550输出-0V,V,-0.01,0.01,0.0,PASS,12.04,2026-05-24 15:56:37
HALL电流采集（0V）,V,-0.1,0.1,0.009,PASS,0.06,2026-05-24 15:56:37
CA550输出-OFF,V,-0.01,0.01,0.0,PASS,6.67,2026-05-24 15:56:43
EEPROM测试,NULL,测试通过,--,测试通过,PASS,11.78,2026-05-24 15:56:55
1模拟电池输出-2.5V,V,44.946,45.054,45.0,PASS,21.03,2026-05-24 15:57:16
2模拟电池输出-2.5V,V,44.946,45.054,45.0,PASS,5.98,2026-05-24 15:57:22
3模拟电池输出-2.5V,V,44.946,45.054,45.0,PASS,5.73,2026-05-24 15:57:28
单体电压测试准备,NULL,--,--,OK,PASS,4.00,2026-05-24 15:57:32
节点配置,NULL,--,--,0.0,PASS,10.27,2026-05-24 15:57:42
单体电压读取_01,V,2.497,2.503,2.5,PASS,0.06,2026-05-24 15:57:42
单体电压读取_02,V,2.497,2.503,2.5,PASS,0.03,2026-05-24 15:57:42
单体电压读取_03,V,2.497,2.503,2.499,PASS,0.06,2026-05-24 15:57:42
单体电压读取_04,V,2.497,2.503,2.499,PASS,0.06,2026-05-24 15:57:43
单体电压读取_05,V,2.497,2.503,2.499,PASS,0.05,2026-05-24 15:57:43
单体电压读取_06,V,2.497,2.503,2.499,PASS,0.05,2026-05-24 15:57:43
单体电压读取_07,V,2.497,2.503,2.499,PASS,0.06,2026-05-24 15:57:43
单体电压读取_08,V,2.497,2.503,2.499,PASS,0.05,2026-05-24 15:57:43
单体电压读取_09,V,2.497,2.503,2.5,PASS,0.06,2026-05-24 15:57:43
单体电压读取_10,V,2.497,2.503,2.499,PASS,0.05,2026-05-24 15:57:43
单体电压读取_11,V,2.497,2.503,2.5,PASS,0.06,2026-05-24 15:57:43
单体电压读取_12,V,2.497,2.503,2.499,PASS,0.06,2026-05-24 15:57:43
单体电压读取_13,V,2.497,2.503,2.5,PASS,0.06,2026-05-24 15:57:43
单体电压读取_14,V,2.497,2.503,2.499,PASS,0.14,2026-05-24 15:57:43
单体电压读取_15,V,2.497,2.503,2.5,PASS,0.05,2026-05-24 15:57:43
单体电压读取_16,V,2.497,2.503,2.499,PASS,0.06,2026-05-24 15:57:43
单体电压读取_17,V,2.497,2.503,2.5,PASS,1.26,2026-05-24 15:57:45
单体电压读取_18,V,2.497,2.503,2.5,PASS,0.06,2026-05-24 15:57:45
单体电压读取_19,V,2.497,2.503,2.499,PASS,0.06,2026-05-24 15:57:45
单体电压读取_20,V,2.497,2.503,2.499,PASS,0.04,2026-05-24 15:57:45
单体电压读取_21,V,2.497,2.503,2.499,PASS,0.04,2026-05-24 15:57:45
单体电压读取_22,V,2.497,2.503,2.499,PASS,0.05,2026-05-24 15:57:45
单体电压读取_23,V,2.497,2.503,2.499,PASS,0.06,2026-05-24 15:57:45
单体电压读取_24,V,2.497,2.503,2.499,PASS,0.05,2026-05-24 15:57:45
单体电压读取_25,V,2.497,2.503,2.499,PASS,0.06,2026-05-24 15:57:45
