BMS老化测试详细判定报表

基本信息
通道号,1
货架号,01-A01
主机条码,1
从机1条码,11
从机2条码,111
从机3条码,1111
测试配方,DJ2513_Aging
测试开始时间,2026-05-24 15:22:14
测试结束时间,2026-05-24 15:29:33
测试总判定,PASS

详细判定数据
测试项名称,单位,下限,上限,测量值,判定结果,执行时间(秒),记录时间
设备初始化,NULL,--,--,PASS,PASS,11.52,2026-05-24 15:22:25
BMS板工作唤醒,NULL,--,--,PASS,PASS,6.19,2026-05-24 15:22:31
供电DCDC+电压测试,NULL,11.0,13.0,11.984,PASS,1.76,2026-05-24 15:22:33
供电P+电压测试,NULL,11.0,13.0,11.984,PASS,0.06,2026-05-24 15:22:33
CAN2通讯测试,NULL,OK,--,OK,PASS,1.10,2026-05-24 15:22:34
CAN4通讯测试,NULL,OK,--,OK,PASS,1.03,2026-05-24 15:22:35
CAN1通讯测试,NULL,OK,--,OK,PASS,1.04,2026-05-24 15:22:36
KL15唤醒源识别,NULL,11.0,13.0,12.128,PASS,0.06,2026-05-24 15:22:37
HALL 5V供电回采电压,NULL,4.95,5.05,4.993,PASS,0.06,2026-05-24 15:22:37
SIG1脉冲阻抗,Ω,45000.0,55000.0,48607.0,PASS,2.07,2026-05-24 15:22:39
SIG3脉冲阻抗,Ω,90000.0,110000.0,92747.0,PASS,2.08,2026-05-24 15:22:41
HVIL1-IN功能采集,V,9.0,11.0,9.593,PASS,5.08,2026-05-24 15:22:46
HVIL1-频率,Hz,49.0,51.0,50.0,PASS,0.05,2026-05-24 15:22:46
HVIL1-占空比,%,49.0,51.0,50.0,PASS,0.06,2026-05-24 15:22:46
HVIL1-OUT功能采集,V,9.0,11.0,9.421,PASS,5.05,2026-05-24 15:22:51
HVIL2-IN功能采集,V,9.0,11.0,9.573,PASS,5.09,2026-05-24 15:22:56
HVIL2-频率,Hz,49.0,51.0,50.0,PASS,0.05,2026-05-24 15:22:56
HVIL2-占空比,%,49.0,51.0,50.0,PASS,0.08,2026-05-24 15:22:56
HVIL2-OUT功能采集,V,9.0,11.0,9.375,PASS,5.07,2026-05-24 15:23:01
