BMS老化测试详细判定报表

基本信息
通道号,1
货架号,01-A01
主机条码,1
从机1条码,11
从机2条码,111
从机3条码,1111
测试配方,DJ2513_Aging
测试开始时间,2026-05-24 15:41:28
测试结束时间,2026-05-24 15:48:36
测试总判定,PASS

详细判定数据
测试项名称,单位,下限,上限,测量值,判定结果,执行时间(秒),记录时间
设备初始化,NULL,--,--,PASS,PASS,11.79,2026-05-24 15:41:39
BMS板工作唤醒,NULL,--,--,PASS,PASS,6.14,2026-05-24 15:41:45
供电DCDC+电压测试,NULL,11.0,13.0,12.011,PASS,0.77,2026-05-24 15:41:46
供电P+电压测试,NULL,11.0,13.0,12.025,PASS,0.76,2026-05-24 15:41:47
CAN2通讯测试,NULL,OK,--,OK,PASS,1.07,2026-05-24 15:41:48
CAN4通讯测试,NULL,OK,--,OK,PASS,1.16,2026-05-24 15:41:49
CAN1通讯测试,NULL,OK,--,OK,PASS,1.03,2026-05-24 15:41:50
KL15唤醒源识别,NULL,11.0,13.0,12.128,PASS,0.05,2026-05-24 15:41:50
HALL 5V供电回采电压,NULL,4.95,5.05,4.993,PASS,0.04,2026-05-24 15:41:50
SIG1脉冲阻抗,Ω,45000.0,55000.0,48206.0,PASS,2.06,2026-05-24 15:41:52
SIG3脉冲阻抗,Ω,90000.0,110000.0,96096.0,PASS,2.06,2026-05-24 15:41:55
HVIL1-IN功能采集,V,9.0,11.0,9.586,PASS,5.03,2026-05-24 15:42:00
HVIL1-频率,Hz,49.0,51.0,50.0,PASS,0.05,2026-05-24 15:42:00
HVIL1-占空比,%,49.0,51.0,50.0,PASS,0.05,2026-05-24 15:42:00
HVIL1-OUT功能采集,V,9.0,11.0,9.421,PASS,5.02,2026-05-24 15:42:05
HVIL2-IN功能采集,V,9.0,11.0,9.58,PASS,5.03,2026-05-24 15:42:10
HVIL2-频率,Hz,49.0,51.0,50.0,PASS,0.06,2026-05-24 15:42:10
HVIL2-占空比,%,49.0,51.0,50.0,PASS,0.05,2026-05-24 15:42:10
HVIL2-OUT功能采集,V,9.0,11.0,9.382,PASS,5.06,2026-05-24 15:42:15
HVIL3-IN功能采集,V,9.0,11.0,9.593,PASS,5.00,2026-05-24 15:42:20
HVIL3-频率,Hz,49.0,51.0,50.0,PASS,0.06,2026-05-24 15:42:20
HVIL3-占空比,%,49.0,51.0,50.0,PASS,0.05,2026-05-24 15:42:20
HVIL3-OUT功能采集,V,9.0,11.0,9.567,PASS,5.21,2026-05-24 15:42:25
GB_2015+CC1无效测试,V,0.0,0.15,0.0,PASS,1.58,2026-05-24 15:42:27
GB_2015+CC1有效测试,V,3.9,4.1,4.024,PASS,0.55,2026-05-24 15:42:27
GB_2015+CC1有效测试(闭合CC1_2015+_S2),V,9.5,10.5,10.053,PASS,1.16,2026-05-24 15:42:29
