BMS老化测试详细判定报表

基本信息
通道号,2
货架号,01-A02
主机条码,2
从机1条码,22
从机2条码,222
从机3条码,2222
测试配方,DJ2513_Aging
测试开始时间,2026-05-24 15:41:28
测试结束时间,2026-05-24 15:48:36
测试总判定,PASS

详细判定数据
测试项名称,单位,下限,上限,测量值,判定结果,执行时间(秒),记录时间
设备初始化,NULL,--,--,PASS,PASS,11.75,2026-05-24 15:41:39
BMS板工作唤醒,NULL,--,--,PASS,PASS,6.13,2026-05-24 15:41:45
供电DCDC+电压测试,NULL,11.0,13.0,12.045,PASS,1.80,2026-05-24 15:41:47
供电P+电压测试,NULL,11.0,13.0,12.045,PASS,0.05,2026-05-24 15:41:47
CAN2通讯测试,NULL,OK,--,OK,PASS,1.07,2026-05-24 15:41:48
CAN4通讯测试,NULL,OK,--,OK,PASS,1.02,2026-05-24 15:41:49
CAN1通讯测试,NULL,OK,--,OK,PASS,1.03,2026-05-24 15:41:50
KL15唤醒源识别,NULL,11.0,13.0,12.235,PASS,0.05,2026-05-24 15:41:51
HALL 5V供电回采电压,NULL,4.95,5.05,5.006,PASS,0.06,2026-05-24 15:41:51
SIG1脉冲阻抗,Ω,45000.0,55000.0,48378.0,PASS,2.06,2026-05-24 15:41:53
SIG3脉冲阻抗,Ω,90000.0,110000.0,95890.0,PASS,2.06,2026-05-24 15:41:55
HVIL1-IN功能采集,V,9.0,11.0,9.619,PASS,5.03,2026-05-24 15:42:00
HVIL1-频率,Hz,49.0,51.0,50.0,PASS,0.06,2026-05-24 15:42:00
HVIL1-占空比,%,49.0,51.0,50.0,PASS,0.07,2026-05-24 15:42:00
HVIL1-OUT功能采集,V,9.0,11.0,9.481,PASS,5.00,2026-05-24 15:42:05
HVIL2-IN功能采集,V,9.0,11.0,9.619,PASS,5.04,2026-05-24 15:42:10
HVIL2-频率,Hz,49.0,51.0,50.0,PASS,0.06,2026-05-24 15:42:10
HVIL2-占空比,%,49.0,51.0,50.0,PASS,0.18,2026-05-24 15:42:10
HVIL2-OUT功能采集,V,9.0,11.0,9.415,PASS,5.01,2026-05-24 15:42:15
HVIL3-IN功能采集,V,9.0,11.0,9.613,PASS,5.04,2026-05-24 15:42:20
HVIL3-频率,Hz,49.0,51.0,50.0,PASS,0.05,2026-05-24 15:42:20
HVIL3-占空比,%,49.0,51.0,50.0,PASS,0.06,2026-05-24 15:42:20
HVIL3-OUT功能采集,V,9.0,11.0,9.639,PASS,5.02,2026-05-24 15:42:25
GB_2015+CC1无效测试,V,0.0,0.15,0.004,PASS,1.60,2026-05-24 15:42:27
GB_2015+CC1有效测试,V,3.9,4.1,4.049,PASS,1.28,2026-05-24 15:42:28
GB_2015+CC1有效测试(闭合CC1_2015+_S2),V,9.5,10.5,10.139,PASS,1.19,2026-05-24 15:42:30
