BMS老化测试详细判定报表

基本信息
通道号,1
货架号,
主机条码,未知主机
测试配方,DJ2513_Aging
测试开始时间,2026-07-25 07:48:22
测试结束时间,2026-07-25 07:52:11
测试总判定,PASS

详细判定数据
测试项名称,单位,下限,上限,测量值,判定结果,执行时间(秒),记录时间
设备初始化,NULL,--,--,PASS,PASS,8.18,2026-07-25 07:48:30
BMS板工作唤醒,NULL,--,--,PASS,PASS,7.32,2026-07-25 07:48:38
供电DCDC+电压测试,NULL,11.0,13.0,11.897,PASS,0.79,2026-07-25 07:48:39
供电P+电压测试,NULL,11.0,13.0,11.91,PASS,0.77,2026-07-25 07:48:39
CAN2通讯测试,NULL,OK,--,OK,PASS,1.68,2026-07-25 07:48:41
CAN4通讯测试,NULL,OK,--,OK,PASS,1.22,2026-07-25 07:48:42
CAN1通讯测试,NULL,OK,--,OK,PASS,1.15,2026-07-25 07:48:43
KL15唤醒源识别,NULL,11.0,13.0,12.128,PASS,0.05,2026-07-25 07:48:43
HALL 5V供电回采电压,NULL,4.0,6.0,4.998,PASS,0.06,2026-07-25 07:48:44
SIG1脉冲阻抗,Ω,40000.0,60000.0,48722.0,PASS,2.22,2026-07-25 07:48:46
SIG3脉冲阻抗,Ω,80000.0,120000.0,96303.0,PASS,2.25,2026-07-25 07:48:48
HVIL1-IN功能采集,V,9.0,11.0,9.52,PASS,5.09,2026-07-25 07:48:53
HVIL1-频率,Hz,47.0,53.0,50.0,PASS,0.06,2026-07-25 07:48:53
HVIL1-占空比,%,47.0,53.0,50.0,PASS,0.03,2026-07-25 07:48:53
HVIL1-OUT功能采集,V,9.0,11.0,9.316,PASS,5.11,2026-07-25 07:48:58
HVIL2-IN功能采集,V,9.0,11.0,9.534,PASS,5.11,2026-07-25 07:49:03
HVIL2-频率,Hz,47.0,53.0,50.0,PASS,0.05,2026-07-25 07:49:03
HVIL2-占空比,%,47.0,53.0,50.0,PASS,0.05,2026-07-25 07:49:03
HVIL2-OUT功能采集,V,9.0,11.0,9.237,PASS,5.14,2026-07-25 07:49:09
HVIL3-IN功能采集,V,9.0,11.0,9.534,PASS,5.09,2026-07-25 07:49:14
HVIL3-频率,Hz,47.0,53.0,50.0,PASS,0.05,2026-07-25 07:49:14
HVIL3-占空比,%,47.0,53.0,50.0,PASS,0.06,2026-07-25 07:49:14
HVIL3-OUT功能采集,V,9.0,11.0,9.534,PASS,5.15,2026-07-25 07:49:19
GB_2015+CC1无效测试,V,0.0,1.0,0.0,PASS,1.77,2026-07-25 07:49:21
GB_2015+CC1有效测试,V,3.0,5.0,4.036,PASS,1.39,2026-07-25 07:49:22
GB_2015+CC1有效测试(闭合CC1_2015+_S2),V,9.0,11.0,10.118,PASS,1.24,2026-07-25 07:49:23
Chaoji_CC2无效测试,V,1.0,1.5,1.358,PASS,2.24,2026-07-25 07:49:26
Chaoji_CC2有效测试,V,0.0,1.0,0.65,PASS,1.21,2026-07-25 07:49:27
Chaoji_CC2有效测试(闭合CC2_SW3),V,0.0,1.0,0.0,PASS,1.22,2026-07-25 07:49:28
Chaoji_CC2-PE断线模拟,V,0.0,1.0,0.004,PASS,2.17,2026-07-25 07:49:30
环境温度测试,℃,--,--,85.2,PASS,0.24,2026-07-25 07:49:30
NTC1,℃,--,--,73.0,PASS,0.05,2026-07-25 07:49:31
NTC2,℃,--,--,73.0,PASS,0.05,2026-07-25 07:49:31
NTC3,℃,--,--,74.0,PASS,0.06,2026-07-25 07:49:31
NTC4,℃,--,--,73.0,PASS,0.05,2026-07-25 07:49:31
HSD_OUTPUT1（LL）,V,2.0,4.0,2.925,PASS,1.55,2026-07-25 07:49:32
HSD_OUTPUT1（LH）,V,0.0,1.0,0.006,PASS,1.52,2026-07-25 07:49:34
HSD_OUTPUT1_CS（LH）,V,0.0,1.0,0.003,PASS,0.05,2026-07-25 07:49:34
HSD_OUTPUT1（HH）,V,10.0,12.5,10.874,PASS,1.46,2026-07-25 07:49:35
HSD_OUTPUT1_CS（HH）,V,0.0,1.0,0.741,PASS,2.38,2026-07-25 07:49:38
HSD_OUTPUT2（LL）,V,2.0,4.0,2.925,PASS,1.49,2026-07-25 07:49:39
HSD_OUTPUT2（LH）,V,0.0,1.0,0.0,PASS,1.46,2026-07-25 07:49:41
HSD_OUTPUT2_CS（LH）,V,0.0,1.0,0.003,PASS,0.05,2026-07-25 07:49:41
HSD_OUTPUT2（HH）,V,10.0,12.5,11.3,PASS,1.51,2026-07-25 07:49:42
HSD_OUTPUT2_CS（HH）,V,0.0,1.0,0.405,PASS,1.18,2026-07-25 07:49:43
HSD_OUTPUT3（LL）,V,2.0,4.0,2.897,PASS,0.99,2026-07-25 07:49:44
HSD_OUTPUT3（LH）,V,0.0,1.0,0.006,PASS,1.43,2026-07-25 07:49:46
HSD_OUTPUT3_CS（LH）,V,0.0,1.0,0.004,PASS,0.05,2026-07-25 07:49:46
HSD_OUTPUT3（HH）,V,10.0,12.5,10.799,PASS,1.48,2026-07-25 07:49:47
HSD_OUTPUT3_CS（HH）,V,0.0,1.0,0.754,PASS,0.46,2026-07-25 07:49:48
HSD_OUTPUT4（LL）,V,2.0,4.0,2.925,PASS,0.98,2026-07-25 07:49:49
HSD_OUTPUT4（LH）,V,0.0,1.0,0.0,PASS,0.95,2026-07-25 07:49:50
HSD_OUTPUT4_CS（LH）,V,0.0,1.0,0.004,PASS,0.06,2026-07-25 07:49:50
HSD_OUTPUT4（HH）,V,10.0,12.5,11.294,PASS,1.48,2026-07-25 07:49:51
HSD_OUTPUT4_CS（HH）,V,0.0,1.0,0.405,PASS,1.14,2026-07-25 07:49:52
HSD_OUTPUT5（L）,V,0.0,1.0,0.0,PASS,1.10,2026-07-25 07:49:53
HSD_OUTPUT5_CS（L）,V,0.0,1.0,0.004,PASS,0.06,2026-07-25 07:49:54
HSD_OUTPUT5（H）,V,10.0,12.5,10.792,PASS,1.10,2026-07-25 07:49:55
