BMS老化测试详细判定报表

基本信息
通道号,1
货架号,01-A01
主机条码,123435
从机1条码,23456
从机2条码,34567
从机3条码,34567
测试配方,DJ2513_Aging
测试开始时间,2026-05-30 14:50:54
测试结束时间,2026-05-30 14:54:48
测试总判定,NG

详细判定数据
测试项名称,单位,下限,上限,测量值,判定结果,执行时间(秒),记录时间
设备初始化,NULL,--,--,PASS,PASS,11.06,2026-05-30 14:51:05
BMS板工作唤醒,NULL,--,--,PASS,PASS,6.11,2026-05-30 14:51:11
供电DCDC+电压测试,NULL,11.0,13.0,12.018,PASS,0.79,2026-05-30 14:51:12
供电P+电压测试,NULL,11.0,13.0,12.005,PASS,0.76,2026-05-30 14:51:13
CAN2通讯测试,NULL,OK,--,OK,PASS,1.08,2026-05-30 14:51:14
CAN4通讯测试,NULL,OK,--,OK,PASS,1.02,2026-05-30 14:51:15
CAN1通讯测试,NULL,OK,--,OK,PASS,1.04,2026-05-30 14:51:16
KL15唤醒源识别,NULL,11.0,13.0,12.128,PASS,0.04,2026-05-30 14:51:16
HALL 5V供电回采电压,NULL,4.95,5.05,4.993,PASS,0.77,2026-05-30 14:51:17
SIG1脉冲阻抗,Ω,45000.0,55000.0,49243.0,PASS,2.04,2026-05-30 14:51:19
SIG3脉冲阻抗,Ω,90000.0,110000.0,96407.0,PASS,2.06,2026-05-30 14:51:21
HVIL1-IN功能采集,V,9.0,11.0,9.599,PASS,5.04,2026-05-30 14:51:26
HVIL1-频率,Hz,49.0,51.0,50.0,PASS,0.06,2026-05-30 14:51:26
HVIL1-占空比,%,49.0,51.0,50.0,PASS,0.05,2026-05-30 14:51:26
HVIL1-OUT功能采集,V,9.0,11.0,9.435,PASS,5.02,2026-05-30 14:51:31
HVIL2-IN功能采集,V,9.0,11.0,9.58,PASS,5.03,2026-05-30 14:51:36
HVIL2-频率,Hz,49.0,51.0,50.0,PASS,0.05,2026-05-30 14:51:36
HVIL2-占空比,%,49.0,51.0,50.0,PASS,0.06,2026-05-30 14:51:36
HVIL2-OUT功能采集,V,9.0,11.0,9.389,PASS,5.02,2026-05-30 14:51:41
HVIL3-IN功能采集,V,9.0,11.0,9.593,PASS,5.00,2026-05-30 14:51:46
HVIL3-频率,Hz,49.0,51.0,50.0,PASS,0.05,2026-05-30 14:51:46
HVIL3-占空比,%,49.0,51.0,50.0,PASS,0.06,2026-05-30 14:51:46
HVIL3-OUT功能采集,V,9.0,11.0,9.58,PASS,5.14,2026-05-30 14:51:51
GB_2015+CC1无效测试,V,0.0,0.15,0.004,PASS,1.61,2026-05-30 14:51:53
GB_2015+CC1有效测试,V,3.9,4.1,4.024,PASS,0.55,2026-05-30 14:51:54
GB_2015+CC1有效测试(闭合CC1_2015+_S2),V,9.5,10.5,10.062,PASS,1.19,2026-05-30 14:51:55
Chaoji_CC2无效测试,V,1.0,1.5,1.365,PASS,2.07,2026-05-30 14:51:57
Chaoji_CC2有效测试,V,0.5,0.8,0.664,PASS,1.08,2026-05-30 14:51:58
Chaoji_CC2有效测试(闭合CC2_SW3),V,0.0,0.15,0.0,PASS,1.11,2026-05-30 14:51:59
Chaoji_CC2-PE断线模拟,V,0.0,0.15,0.004,PASS,1.70,2026-05-30 14:52:01
环境温度测试,℃,-40.0,85.0,25.0,PASS,0.01,2026-05-30 14:52:01
NTC1,℃,-45.0,90.0,25.0,PASS,0.07,2026-05-30 14:52:01
NTC2,℃,-45.0,90.0,26.0,PASS,0.05,2026-05-30 14:52:01
NTC3,℃,-45.0,90.0,26.0,PASS,0.05,2026-05-30 14:52:01
NTC4,℃,-45.0,90.0,26.0,PASS,0.05,2026-05-30 14:52:01
HSD_OUTPUT1（LL）,V,2.6,3.0,2.952,PASS,1.47,2026-05-30 14:52:03
HSD_OUTPUT1（LH）,V,0.0,0.3,0.0,PASS,1.47,2026-05-30 14:52:04
HSD_OUTPUT1_CS（LH）,V,0.0,0.05,0.004,PASS,0.06,2026-05-30 14:52:04
HSD_OUTPUT1（HH）,V,11.0,13.0,11.097,PASS,1.47,2026-05-30 14:52:06
HSD_OUTPUT1_CS（HH）,V,0.65,0.85,0.786,PASS,1.15,2026-05-30 14:52:07
HSD_OUTPUT2（LL）,V,2.6,3.0,2.952,PASS,1.47,2026-05-30 14:52:08
HSD_OUTPUT2（LH）,V,0.0,0.3,0.006,PASS,1.47,2026-05-30 14:52:10
HSD_OUTPUT2_CS（LH）,V,0.0,0.05,0.004,PASS,0.05,2026-05-30 14:52:10
HSD_OUTPUT2（HH）,V,11.0,13.0,11.497,PASS,1.50,2026-05-30 14:52:11
HSD_OUTPUT2_CS（HH）,V,0.35,0.5,0.435,PASS,1.24,2026-05-30 14:52:12
HSD_OUTPUT3（LL）,V,2.6,3.0,2.945,PASS,0.96,2026-05-30 14:52:13
HSD_OUTPUT3（LH）,V,0.0,0.3,0.006,PASS,1.47,2026-05-30 14:52:15
HSD_OUTPUT3_CS（LH）,V,0.0,0.05,0.003,PASS,0.05,2026-05-30 14:52:15
HSD_OUTPUT3（HH）,V,11.0,13.0,11.07,PASS,1.60,2026-05-30 14:52:17
HSD_OUTPUT3_CS（HH）,V,0.65,0.85,0.798,PASS,0.48,2026-05-30 14:52:17
HSD_OUTPUT4（LL）,V,2.6,3.0,2.931,PASS,0.97,2026-05-30 14:52:18
HSD_OUTPUT4（LH）,V,0.0,0.3,0.006,PASS,1.03,2026-05-30 14:52:19
HSD_OUTPUT4_CS（LH）,V,0.0,0.05,0.004,PASS,0.05,2026-05-30 14:52:19
HSD_OUTPUT4（HH）,V,11.0,13.0,11.544,PASS,1.47,2026-05-30 14:52:21
HSD_OUTPUT4_CS（HH）,V,0.35,0.5,0.432,PASS,1.15,2026-05-30 14:52:22
HSD_OUTPUT5（L）,V,0.0,0.3,0.006,PASS,1.10,2026-05-30 14:52:23
HSD_OUTPUT5_CS（L）,V,0.0,0.05,0.003,PASS,0.05,2026-05-30 14:52:23
HSD_OUTPUT5（H）,V,11.0,13.0,11.07,PASS,1.11,2026-05-30 14:52:24
HSD_OUTPUT5_CS（H）,V,0.65,0.85,0.805,PASS,0.62,2026-05-30 14:52:25
HSD_OUTPUT6（L）,V,0.0,0.3,0.0,PASS,0.62,2026-05-30 14:52:25
HSD_OUTPUT6_CS（L）,V,0.0,0.05,0.004,PASS,0.06,2026-05-30 14:52:25
HSD_OUTPUT6（H）,V,11.0,13.0,11.49,PASS,1.08,2026-05-30 14:52:26
HSD_OUTPUT6_CS（H）,V,0.35,0.5,0.428,PASS,0.60,2026-05-30 14:52:27
HSD_OUTPUT7（L）,V,0.0,0.1,0.006,PASS,0.58,2026-05-30 14:52:28
HSD_OUTPUT7（H）,V,11.0,13.0,11.117,PASS,1.12,2026-05-30 14:52:29
HSD_OUTPUT7_CS（H）,V,0.7,0.9,0.802,PASS,0.60,2026-05-30 14:52:29
HSD_OUTPUT8（L）,V,0.0,0.1,0.0,PASS,0.60,2026-05-30 14:52:30
HSD_OUTPUT8（H）,V,11.0,13.0,11.564,PASS,2.34,2026-05-30 14:52:32
HSD_OUTPUT8_CS（H）,V,0.35,0.5,0.428,PASS,0.60,2026-05-30 14:52:33
LSD_OUTPUT1（L）,V,2.6,3.0,2.96,PASS,1.10,2026-05-30 14:52:34
LSD_OUTPUT1（H）,V,0.0,0.3,0.032,PASS,2.69,2026-05-30 14:52:37
LSD_OUTPUT2（L）,V,2.6,3.0,2.953,PASS,1.02,2026-05-30 14:52:38
LSD_OUTPUT2（H）,V,0.0,0.3,0.026,PASS,2.40,2026-05-30 14:52:40
LSD_OUTPUT3（L）,V,2.6,3.0,2.967,PASS,0.96,2026-05-30 14:52:41
LSD_OUTPUT3（H）,V,0.0,0.3,0.039,PASS,3.92,2026-05-30 14:52:45
LSD_OUTPUT4（L）,V,2.6,3.0,2.947,PASS,2.27,2026-05-30 14:52:47
LSD_OUTPUT4（H）,V,0.0,0.3,0.026,PASS,2.69,2026-05-30 14:52:50
@高压源控制-100V,V,99.0,101.0,100.0683,PASS,4.62,2026-05-30 14:52:55
高压1测试-100V,V,99.0,101.0,100.115,PASS,0.02,2026-05-30 14:52:55
高压2测试-100V,V,99.0,101.0,99.925,PASS,0.05,2026-05-30 14:52:55
高压3测试-100V,V,99.0,101.0,99.469,PASS,0.05,2026-05-30 14:52:55
@高压源控制-750V,V,749.0,751.0,750.0535,PASS,4.07,2026-05-30 14:52:59
高压1测试-750V,V,749.0,751.0,750.199,PASS,0.07,2026-05-30 14:52:59
高压2测试-750V,V,749.0,751.0,749.819,PASS,0.06,2026-05-30 14:52:59
高压3测试-750V,V,749.0,751.0,749.287,PASS,0.05,2026-05-30 14:52:59
@高压源控制-650V,V,649.0,651.0,650.3879,PASS,4.09,2026-05-30 14:53:03
绝缘采集测试-正极1MΩ,KΩ,800.0,1200.0,986.5kΩ,PASS,21.16,2026-05-30 14:53:24
绝缘采集测试-负极30KΩ,KΩ,25.0,35.0,30.3kΩ,PASS,0.03,2026-05-30 14:53:24
@高压源控制-0V,V,0.0,1.0,0.4951,PASS,3.69,2026-05-30 14:53:28
快充口绝缘阻抗-100KΩ,Ω,80000.0,120000.0,92981.0,PASS,3.16,2026-05-30 14:53:31
快充口绝缘阻抗-500KΩ,Ω,425000.0,575000.0,456653.0,PASS,2.68,2026-05-30 14:53:34
第一路负极粘连检测-无效,V,4.9,5.02,4.989,PASS,2.10,2026-05-30 14:53:36
第一路负极粘连检测-有效,V,1.8,2.0,1.902,PASS,4.09,2026-05-30 14:53:40
第二路负极粘连检测-无效,V,4.9,5.02,4.998,PASS,2.05,2026-05-30 14:53:42
第二路负极粘连检测-有效,V,1.8,2.0,1.911,PASS,2.67,2026-05-30 14:53:45
CA550输出-2.5V,V,2.49,2.51,2.5,PASS,2.90,2026-05-30 14:53:48
HALL电流采集（2.5V）,V,2.4,2.6,2.495,PASS,1.57,2026-05-30 14:53:49
CA550输出-5V,V,4.99,5.01,5.0,PASS,2.78,2026-05-30 14:53:52
HALL电流采集（5V）,V,4.9,5.1,4.987,PASS,1.25,2026-05-30 14:53:53
CA550输出-0V,V,-0.01,0.01,0.0,PASS,3.86,2026-05-30 14:53:57
HALL电流采集（0V）,V,-0.1,0.1,0.0,PASS,0.08,2026-05-30 14:53:57
CA550输出-OFF,V,-0.01,0.01,0.0,PASS,2.49,2026-05-30 14:54:00
EEPROM测试,NULL,测试通过,--,测试通过,PASS,5.13,2026-05-30 14:54:05
1模拟电池输出-2.5V,V,44.946,45.054,0.0,NG,43.15,2026-05-30 14:54:48
